Comunidad,Año,Trimestre,Delito,Subdelito,Cantidad
TOTAL NACIONAL,2015,1,DELITOS,-,496876.0
TOTAL NACIONAL,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,66.0
TOTAL NACIONAL,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,15727.0
TOTAL NACIONAL,2015,1,ROBOS,FUERZA,28916.0
TOTAL NACIONAL,2015,1,SUSTRACCION,VEHICULOS,10351.0
TOTAL NACIONAL,2015,1,TRAFICO,DROGAS,2878.0
TOTAL NACIONAL,2015,1,DANOS,-,54028.0
TOTAL NACIONAL,2015,1,HURTOS,-,168971.0
ANDALUCIA,2015,1,DELITOS,-,85396.0
ANDALUCIA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,14.0
ANDALUCIA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,1799.0
ANDALUCIA,2015,1,ROBOS,FUERZA,4890.0
ANDALUCIA,2015,1,SUSTRACCION,VEHICULOS,2181.0
ANDALUCIA,2015,1,TRAFICO,DROGAS,760.0
ANDALUCIA,2015,1,DANOS,-,8804.0
ANDALUCIA,2015,1,HURTOS,-,27375.0
ARAGON,2015,1,DELITOS,-,9502.0
ARAGON,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
ARAGON,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,184.0
ARAGON,2015,1,ROBOS,FUERZA,454.0
ARAGON,2015,1,SUSTRACCION,VEHICULOS,79.0
ARAGON,2015,1,TRAFICO,DROGAS,64.0
ARAGON,2015,1,DANOS,-,1355.0
ARAGON,2015,1,HURTOS,-,2999.0
ASTURIAS (PRINCIPADO DE),2015,1,DELITOS,-,6587.0
ASTURIAS (PRINCIPADO DE),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
ASTURIAS (PRINCIPADO DE),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,167.0
ASTURIAS (PRINCIPADO DE),2015,1,ROBOS,FUERZA,182.0
ASTURIAS (PRINCIPADO DE),2015,1,SUSTRACCION,VEHICULOS,91.0
ASTURIAS (PRINCIPADO DE),2015,1,TRAFICO,DROGAS,37.0
ASTURIAS (PRINCIPADO DE),2015,1,DANOS,-,799.0
ASTURIAS (PRINCIPADO DE),2015,1,HURTOS,-,1915.0
BALEARS (ILLES),2015,1,DELITOS,-,11346.0
BALEARS (ILLES),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
BALEARS (ILLES),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,133.0
BALEARS (ILLES),2015,1,ROBOS,FUERZA,694.0
BALEARS (ILLES),2015,1,SUSTRACCION,VEHICULOS,262.0
BALEARS (ILLES),2015,1,TRAFICO,DROGAS,54.0
BALEARS (ILLES),2015,1,DANOS,-,1107.0
BALEARS (ILLES),2015,1,HURTOS,-,3414.0
CANARIAS,2015,1,DELITOS,-,23570.0
CANARIAS,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,6.0
CANARIAS,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,405.0
CANARIAS,2015,1,ROBOS,FUERZA,883.0
CANARIAS,2015,1,SUSTRACCION,VEHICULOS,382.0
CANARIAS,2015,1,TRAFICO,DROGAS,151.0
CANARIAS,2015,1,DANOS,-,1817.0
CANARIAS,2015,1,HURTOS,-,8799.0
CANTABRIA,2015,1,DELITOS,-,3946.0
CANTABRIA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
CANTABRIA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,57.0
CANTABRIA,2015,1,ROBOS,FUERZA,170.0
CANTABRIA,2015,1,SUSTRACCION,VEHICULOS,62.0
CANTABRIA,2015,1,TRAFICO,DROGAS,32.0
CANTABRIA,2015,1,DANOS,-,417.0
CANTABRIA,2015,1,HURTOS,-,1249.0
CASTILLA Y LEON,2015,1,DELITOS,-,18271.0
CASTILLA Y LEON,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
CASTILLA Y LEON,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,212.0
CASTILLA Y LEON,2015,1,ROBOS,FUERZA,979.0
CASTILLA Y LEON,2015,1,SUSTRACCION,VEHICULOS,201.0
CASTILLA Y LEON,2015,1,TRAFICO,DROGAS,69.0
CASTILLA Y LEON,2015,1,DANOS,-,2685.0
CASTILLA Y LEON,2015,1,HURTOS,-,5709.0
CASTILLA - LA MANCHA,2015,1,DELITOS,-,16879.0
CASTILLA - LA MANCHA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
CASTILLA - LA MANCHA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,234.0
CASTILLA - LA MANCHA,2015,1,ROBOS,FUERZA,1672.0
CASTILLA - LA MANCHA,2015,1,SUSTRACCION,VEHICULOS,286.0
CASTILLA - LA MANCHA,2015,1,TRAFICO,DROGAS,81.0
CASTILLA - LA MANCHA,2015,1,DANOS,-,2056.0
CASTILLA - LA MANCHA,2015,1,HURTOS,-,4012.0
