,Enero-junio 2015,Enero-junio 2016,Variacion % 2016/2015,
TOTAL NACIONAL,
    1.-DELITOS Y FALTAS (EU),1019410.0,993596.0,-2.5,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),125.0,148.0,18.4,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),31564.0,30773.0,-2.5,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),56243.0,57458.0,2.2,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),21087.0,20950.0,-0.6,
    6.-TRAFICO DE DROGAS (EU),6100.0,6076.0,-0.4,
    7.-DANOS,109633.0,107134.0,-2.3,
    8.-HURTOS,351151.0,348382.0,-0.8,
ANDALUCIA,
    1.-DELITOS Y FALTAS (EU),172783.0,165350.0,-4.3,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),34.0,24.0,-29.4,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),3561.0,3758.0,5.5,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),9223.0,9229.0,0.1,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),4320.0,4213.0,-2.5,
    6.-TRAFICO DE DROGAS (EU),1639.0,1520.0,-7.3,
    7.-DANOS,17299.0,16848.0,-2.6,
    8.-HURTOS,55892.0,55141.0,-1.3,
ARAGON,
    1.-DELITOS Y FALTAS (EU),19016.0,18873.0,-0.8,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),6.0,7.0,16.7,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),371.0,465.0,25.3,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),887.0,956.0,7.8,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),163.0,170.0,4.3,
    6.-TRAFICO DE DROGAS (EU),135.0,106.0,-21.5,
    7.-DANOS,2675.0,2606.0,-2.6,
    8.-HURTOS,6032.0,5954.0,-1.3,
ASTURIAS (PRINCIPADO DE),
    1.-DELITOS Y FALTAS (EU),13319.0,12937.0,-2.9,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),0.0,3.0,100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),314.0,293.0,-6.7,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),416.0,545.0,31.0,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),187.0,173.0,-7.5,
    6.-TRAFICO DE DROGAS (EU),73.0,45.0,-38.4,
    7.-DANOS,1611.0,1445.0,-10.3,
    8.-HURTOS,3919.0,3655.0,-6.7,
BALEARS (ILLES),
    1.-DELITOS Y FALTAS (EU),28407.0,29343.0,3.3,
