,Enero-Septiembre 2015,Enero-Septiembre 2016,Variacion % 2016/2015
TOTAL NACIONAL
    1.-DELITOS Y FALTAS (EU),1542066.0,1520487.0,-1.4
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),214.0,227.0,6.1
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),48287.0,47360.0,-1.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),84934.0,85355.0,0.5
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),32040.0,32222.0,0.6
    6.-TRAFICO DE DROGAS (EU),9415.0,9606.0,2.0
    7.-DANOS,162943.0,162065.0,-0.5
    8.-HURTOS,542134.0,540853.0,-0.2
ANDALUCIA
    1.-DELITOS Y FALTAS (EU),258032.0,252684.0,-2.1
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),48.0,49.0,2.1
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),5423.0,5686.0,4.8
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),13571.0,13945.0,2.8
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),6669.0,6600.0,-1.0
    6.-TRAFICO DE DROGAS (EU),2469.0,2444.0,-1.0
    7.-DANOS,25514.0,25882.0,1.4
    8.-HURTOS,84504.0,84445.0,-0.1
ARAGON
    1.-DELITOS Y FALTAS (EU),28441.0,28206.0,-0.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),7.0,8.0,14.3
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),543.0,691.0,27.3
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1299.0,1372.0,5.6
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),263.0,256.0,-2.7
    6.-TRAFICO DE DROGAS (EU),215.0,179.0,-16.7
    7.-DANOS,3983.0,3861.0,-3.1
    8.-HURTOS,8938.0,8720.0,-2.4
ASTURIAS (PRINCIPADO DE)
    1.-DELITOS Y FALTAS (EU),20194.0,19711.0,-2.4
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,4.0,33.3
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),463.0,417.0,-9.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),669.0,794.0,18.7
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),321.0,279.0,-13.1
    6.-TRAFICO DE DROGAS (EU),125.0,78.0,-37.6
    7.-DANOS,2352.0,2241.0,-4.7
    8.-HURTOS,6162.0,5768.0,-6.4
BALEARS (ILLES)
    1.-DELITOS Y FALTAS (EU),53208.0,53775.0,1.1
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),5.0,8.0,60.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),879.0,918.0,4.4
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2604.0,2456.0,-5.7
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1292.0,1442.0,11.6
