,Enero-Diciembre 2015,Enero-Diciembre 2016,Variacion % 2016/2015
TOTAL NACIONAL
    1.-DELITOS Y FALTAS (EU),2036815.0,2011586.0,-1.2
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),302.0,292.0,-3.3
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),64581.0,63339.0,-1.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),115302.0,112925.0,-2.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),43170.0,43524.0,0.8
    6.-TRAFICO DE DROGAS (EU),12069.0,12440.0,3.1
    7.-DANOS,215519.0,214765.0,-0.3
    8.-HURTOS,715469.0,711908.0,-0.5
ANDALUCIA
    1.-DELITOS Y FALTAS (EU),337124.0,332194.0,-1.5
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),65.0,68.0,4.6
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),7283.0,7479.0,2.7
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),17798.0,18239.0,2.5
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),9008.0,8877.0,-1.5
    6.-TRAFICO DE DROGAS (EU),3086.0,3142.0,1.8
    7.-DANOS,33579.0,34510.0,2.8
    8.-HURTOS,110768.0,109588.0,-1.1
ARAGON
    1.-DELITOS Y FALTAS (EU),38384.0,38205.0,-0.5
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),9.0,8.0,-11.1
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),820.0,916.0,11.7
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1883.0,1890.0,0.4
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),373.0,391.0,4.8
    6.-TRAFICO DE DROGAS (EU),285.0,252.0,-11.6
    7.-DANOS,5355.0,5229.0,-2.4
    8.-HURTOS,12155.0,11952.0,-1.7
ASTURIAS (PRINCIPADO DE)
    1.-DELITOS Y FALTAS (EU),26982.0,26179.0,-3.0
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),4.0,6.0,50.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),603.0,533.0,-11.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),956.0,1100.0,15.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),449.0,376.0,-16.3
    6.-TRAFICO DE DROGAS (EU),154.0,103.0,-33.1
    7.-DANOS,3112.0,3026.0,-2.8
    8.-HURTOS,8275.0,7640.0,-7.7
BALEARS (ILLES)
    1.-DELITOS Y FALTAS (EU),66680.0,68158.0,2.2
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),8.0,9.0,12.5
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1069.0,1193.0,11.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3323.0,3081.0,-7.3
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1770.0,1938.0,9.5
    6.-TRAFICO DE DROGAS (EU),419.0,499.0,19.1
    7.-DANOS,4994.0,5071.0,1.5
    8.-HURTOS,27662.0,27935.0,1.0
CANARIAS
    1.-DELITOS Y FALTAS (EU),89539.0,88870.0,-0.7
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),20.0,21.0,5.0
