,Enero-septiembre 2016,Enero-septiembre 2017,Variacion % 2017/2016
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,229.0,240.0,4.8
    2.-Homicidios dolosos y asesinatos en grado tentativa,603.0,663.0,10.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,13244.0,13388.0,1.1
    4.-Secuestro,78.0,50.0,-35.9
    5.-Delitos contra la libertad e indemnidad sexual,8337.0,8992.0,7.9
    5.1.-Agresion sexual con penetracion,947.0,1054.0,11.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7390.0,7938.0,7.4
    6.-Robos con violencia e intimidacion,47048.0,46158.0,-1.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,121373.0,110352.0,-9.1
    7.1.-Robos con fuerza en domicilios,85734.0,77398.0,-9.7
    8.-Hurtos,540509.0,536752.0,-0.7
    9.-Sustracciones de vehiculos,32056.0,32545.0,1.5
    10.-Trafico de drogas,9610.0,10110.0,5.2
    TOTAL INFRACCIONES PENALES,1518867.0,1527806.0,0.6
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,49.0,40.0,-18.4
    2.-Homicidios dolosos y asesinatos en grado tentativa,165.0,175.0,6.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,2237.0,2274.0,1.7
    4.-Secuestro,11.0,14.0,27.3
    5.-Delitos contra la libertad e indemnidad sexual,1417.0,1584.0,11.8
    5.1.-Agresion sexual con penetracion,136.0,131.0,-3.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1281.0,1453.0,13.4
    6.-Robos con violencia e intimidacion,5644.0,5754.0,1.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,19987.0,19005.0,-4.9
    7.1.-Robos con fuerza en domicilios,14073.0,13404.0,-4.8
    8.-Hurtos,84366.0,79451.0,-5.8
    9.-Sustracciones de vehiculos,6562.0,6766.0,3.1
    10.-Trafico de drogas,2442.0,2693.0,10.3
    TOTAL INFRACCIONES PENALES,252388.0,253837.0,0.6
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,8.0,3.0,-62.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,11.0,10.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,346.0,306.0,-11.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,223.0,193.0,-13.5
    5.1.-Agresion sexual con penetracion,17.0,21.0,23.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,206.0,172.0,-16.5
    6.-Robos con violencia e intimidacion,689.0,575.0,-16.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1936.0,1921.0,-0.8
    7.1.-Robos con fuerza en domicilios,1379.0,1327.0,-3.8
    8.-Hurtos,8702.0,8098.0,-6.9
    9.-Sustracciones de vehiculos,254.0,325.0,28.0
    10.-Trafico de drogas,179.0,214.0,19.6
    TOTAL INFRACCIONES PENALES,28147.0,28051.0,-0.3
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,10.0,-23.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,267.0,268.0,0.4
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,112.0,114.0,1.8
    5.1.-Agresion sexual con penetracion,14.0,16.0,14.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,98.0,98.0,0.0
    6.-Robos con violencia e intimidacion,415.0,303.0,-27.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1422.0,1325.0,-6.8
    7.1.-Robos con fuerza en domicilios,795.0,769.0,-3.3
    8.-Hurtos,5768.0,5518.0,-4.3
    9.-Sustracciones de vehiculos,274.0,318.0,16.1
    10.-Trafico de drogas,78.0,105.0,34.6
    TOTAL INFRACCIONES PENALES,19635.0,19243.0,-2.0
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,8.0,3.0,-62.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,19.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,546.0,562.0,2.9
