,Enero-junio 2018,Enero-junio 2019,Variacion % 2019/2018
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,148.0,145.0,-2.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,353.0,406.0,15.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,8341.0,9139.0,9.6
    4.-Secuestro,36.0,51.0,41.7
    5.-Delitos contra la libertad e indemnidad sexual,6490.0,7258.0,11.8
    5.1.-Agresion sexual con penetracion,799.0,829.0,3.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5691.0,6429.0,13.0
    6.-Robos con violencia e intimidacion,28031.0,31195.0,11.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,75575.0,70112.0,-7.2
    7.1.-Robos con fuerza en domicilios,53593.0,47422.0,-11.5
    8.-Hurtos,341685.0,343509.0,0.5
    9.-Sustracciones de vehiculos,17513.0,17500.0,-0.1
    10.-Trafico de drogas,6905.0,7705.0,11.6
    Resto de infracciones penales,540786.0,583401.0,7.9
    TOTAL INFRACCIONES PENALES,1025863.0,1070421.0,4.3
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,40.0,33.0,-17.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,78.0,72.0,-7.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1340.0,1493.0,11.4
    4.-Secuestro,13.0,24.0,84.6
    5.-Delitos contra la libertad e indemnidad sexual,1158.0,1218.0,5.2
    5.1.-Agresion sexual con penetracion,92.0,113.0,22.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1066.0,1105.0,3.7
    6.-Robos con violencia e intimidacion,3421.0,3554.0,3.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,11840.0,11042.0,-6.7
    7.1.-Robos con fuerza en domicilios,7980.0,7338.0,-8.0
    8.-Hurtos,47009.0,44775.0,-4.8
    9.-Sustracciones de vehiculos,3390.0,3342.0,-1.4
    10.-Trafico de drogas,1847.0,2029.0,9.9
    Resto de infracciones penales,93940.0,98113.0,4.4
    TOTAL INFRACCIONES PENALES,164076.0,165695.0,1.0
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,5.0,150.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,227.0,232.0,2.2
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,153.0,145.0,-5.2
    5.1.-Agresion sexual con penetracion,16.0,15.0,-6.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,137.0,130.0,-5.1
    6.-Robos con violencia e intimidacion,372.0,518.0,39.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1202.0,1233.0,2.6
    7.1.-Robos con fuerza en domicilios,857.0,808.0,-5.7
    8.-Hurtos,4910.0,5198.0,5.9
    9.-Sustracciones de vehiculos,151.0,100.0,-33.8
    10.-Trafico de drogas,142.0,176.0,23.9
    Resto de infracciones penales,11244.0,13355.0,18.8
    TOTAL INFRACCIONES PENALES,18404.0,20967.0,13.9
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,6.0,-14.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,173.0,192.0,11.0
    4.-Secuestro,3.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,103.0,79.0,-23.3
    5.1.-Agresion sexual con penetracion,8.0,2.0,-75.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,95.0,77.0,-18.9
    6.-Robos con violencia e intimidacion,163.0,179.0,9.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,758.0,751.0,-0.9
    7.1.-Robos con fuerza en domicilios,407.0,429.0,5.4
    8.-Hurtos,3360.0,3420.0,1.8
    9.-Sustracciones de vehiculos,111.0,87.0,-21.6
    10.-Trafico de drogas,48.0,103.0,114.6
    Resto de infracciones penales,7661.0,8472.0,10.6
    TOTAL INFRACCIONES PENALES,12390.0,13290.0,7.3
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,22.0,83.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,311.0,347.0,11.6
    4.-Secuestro,1.0,3.0,200.0
    5.-Delitos contra la libertad e indemnidad sexual,256.0,349.0,36.3
    5.1.-Agresion sexual con penetracion,23.0,35.0,52.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,233.0,314.0,34.8
    6.-Robos con violencia e intimidacion,530.0,597.0,12.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1996.0,1764.0,-11.6
