,Enero-diciembre 2019,Enero-diciembre 2020,Variacion % 2020/2019
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,331.0,299.0,-9.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,836.0,909.0,8.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,20051.0,16013.0,-20.1
    4.-Secuestro,89.0,79.0,-11.2
    5.-Delitos contra la libertad e indemnidad sexual,15319.0,13240.0,-13.6
    5.1.-Agresion sexual con penetracion,1873.0,1602.0,-14.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,13446.0,11638.0,-13.4
    6.-Robos con violencia e intimidacion,65874.0,45472.0,-31.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,142528.0,103293.0,-27.5
    7.1.-Robos con fuerza en domicilios,98326.0,70481.0,-28.3
    8.-Hurtos,700453.0,421248.0,-39.9
    9.-Sustracciones de vehiculos,35105.0,26008.0,-25.9
    10.-Trafico de drogas,16624.0,16996.0,2.2
    Resto de infracciones penales,1202265.0,1129809.0,-6.0
    TOTAL INFRACCIONES PENALES,2199475.0,1773366.0,-19.4
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,82.0,60.0,-26.8
    2.-Homicidios dolosos y asesinatos en grado tentativa,156.0,238.0,52.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3474.0,3054.0,-12.1
    4.-Secuestro,31.0,23.0,-25.8
    5.-Delitos contra la libertad e indemnidad sexual,2510.0,2215.0,-11.8
    5.1.-Agresion sexual con penetracion,258.0,240.0,-7.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2252.0,1975.0,-12.3
    6.-Robos con violencia e intimidacion,7302.0,5208.0,-28.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,22452.0,17567.0,-21.8
    7.1.-Robos con fuerza en domicilios,15349.0,12118.0,-21.1
    8.-Hurtos,91298.0,57570.0,-36.9
    9.-Sustracciones de vehiculos,6511.0,4947.0,-24.0
    10.-Trafico de drogas,4366.0,4683.0,7.3
    Resto de infracciones penales,201139.0,192929.0,-4.1
    TOTAL INFRACCIONES PENALES,339321.0,288494.0,-15.0
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,6.0,4.0,-33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,35.0,288.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,552.0,395.0,-28.4
    4.-Secuestro,2.0,1.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,330.0,307.0,-7.0
    5.1.-Agresion sexual con penetracion,26.0,37.0,42.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,304.0,270.0,-11.2
    6.-Robos con violencia e intimidacion,1033.0,786.0,-23.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2346.0,1887.0,-19.6
    7.1.-Robos con fuerza en domicilios,1568.0,1138.0,-27.4
    8.-Hurtos,10546.0,6761.0,-35.9
    9.-Sustracciones de vehiculos,242.0,210.0,-13.2
    10.-Trafico de drogas,351.0,324.0,-7.7
    Resto de infracciones penales,27166.0,25732.0,-5.3
    TOTAL INFRACCIONES PENALES,42583.0,36442.0,-14.4
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,7.0,5.0,-28.6
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,9.0,-18.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,402.0,266.0,-33.8
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,193.0,215.0,11.4
    5.1.-Agresion sexual con penetracion,12.0,20.0,66.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,181.0,195.0,7.7
    6.-Robos con violencia e intimidacion,362.0,319.0,-11.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1563.0,1125.0,-28.0
    7.1.-Robos con fuerza en domicilios,908.0,650.0,-28.4
    8.-Hurtos,6780.0,4143.0,-38.9
    9.-Sustracciones de vehiculos,224.0,294.0,31.3
    10.-Trafico de drogas,206.0,177.0,-14.1
    Resto de infracciones penales,17415.0,17841.0,2.4
    TOTAL INFRACCIONES PENALES,27163.0,24395.0,-10.2
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,6.0,7.0,16.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,42.0,32.0,-23.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,857.0,614.0,-28.4
    4.-Secuestro,6.0,4.0,-33.3
    5.-Delitos contra la libertad e indemnidad sexual,743.0,520.0,-30.0
    5.1.-Agresion sexual con penetracion,89.0,57.0,-36.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,654.0,463.0,-29.2
    6.-Robos con violencia e intimidacion,1314.0,762.0,-42.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3574.0,2582.0,-27.8
    7.1.-Robos con fuerza en domicilios,2598.0,1848.0,-28.9
    8.-Hurtos,26584.0,12483.0,-53.0
    9.-Sustracciones de vehiculos,1429.0,1043.0,-27.0
    10.-Trafico de drogas,656.0,426.0,-35.1
    Resto de infracciones penales,42451.0,41595.0,-2.0
    TOTAL INFRACCIONES PENALES,77662.0,60068.0,-22.7
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,20.0,12.0,-40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,44.0,42.0,-4.5
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1148.0,913.0,-20.5
    4.-Secuestro,1.0,3.0,200.0
    5.-Delitos contra la libertad e indemnidad sexual,907.0,874.0,-3.6
    5.1.-Agresion sexual con penetracion,73.0,101.0,38.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,834.0,773.0,-7.3
    6.-Robos con violencia e intimidacion,1535.0,1174.0,-23.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4297.0,3488.0,-18.8
    7.1.-Robos con fuerza en domicilios,2886.0,2356.0,-18.4
    8.-Hurtos,26122.0,16716.0,-36.0
    9.-Sustracciones de vehiculos,1295.0,1033.0,-20.2
    10.-Trafico de drogas,603.0,582.0,-3.5
    Resto de infracciones penales,59667.0,59452.0,-0.4
    TOTAL INFRACCIONES PENALES,95639.0,84289.0,-11.9
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,6.0,1.0,-83.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,3.0,-66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,285.0,233.0,-18.2
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,107.0,89.0,-16.8
    5.1.-Agresion sexual con penetracion,10.0,11.0,10.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,97.0,78.0,-19.6
    6.-Robos con violencia e intimidacion,223.0,179.0,-19.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1625.0,1375.0,-15.4
    7.1.-Robos con fuerza en domicilios,1068.0,859.0,-19.6
    8.-Hurtos,4868.0,3238.0,-33.5
    9.-Sustracciones de vehiculos,132.0,107.0,-18.9
    10.-Trafico de drogas,86.0,96.0,11.6
    Resto de infracciones penales,10732.0,11275.0,5.1
    TOTAL INFRACCIONES PENALES,18073.0,16598.0,-8.2
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,8.0,16.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,29.0,-3.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,757.0,568.0,-25.0
    4.-Secuestro,2.0,2.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,507.0,419.0,-17.4
    5.1.-Agresion sexual con penetracion,44.0,43.0,-2.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,463.0,376.0,-18.8
    6.-Robos con violencia e intimidacion,706.0,541.0,-23.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4765.0,3362.0,-29.4
    7.1.-Robos con fuerza en domicilios,2965.0,2125.0,-28.3
    8.-Hurtos,19206.0,11413.0,-40.6
    9.-Sustracciones de vehiculos,573.0,422.0,-26.4
    10.-Trafico de drogas,447.0,498.0,11.4
    Resto de infracciones penales,49362.0,48094.0,-2.6
    TOTAL INFRACCIONES PENALES,76363.0,65364.0,-14.4
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,11.0,17.0,54.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,35.0,16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,671.0,592.0,-11.8
    4.-Secuestro,1.0,5.0,400.0
    5.-Delitos contra la libertad e indemnidad sexual,520.0,451.0,-13.3
    5.1.-Agresion sexual con penetracion,39.0,42.0,7.7
