,Enero-marzo 2021,Enero-marzo 2022,Variacion % 2022/2021
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,61.0,74.0,21.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,190.0,244.0,28.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3410.0,5364.0,57.3
    4.-Secuestro,18.0,14.0,-22.2
    5.-Delitos contra la libertad e indemnidad sexual,3446.0,4191.0,21.6
    5.1.-Agresion sexual con penetracion,426.0,544.0,27.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,3020.0,3647.0,20.8
    6.-Robos con violencia e intimidacion,11006.0,14892.0,35.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,23353.0,29913.0,28.1
    7.1.-Robos con fuerza en domicilios,16479.0,20933.0,27.0
    8.-Hurtos,96060.0,145399.0,51.4
    9.-Sustracciones de vehiculos,5353.0,7172.0,34.0
    10.-Trafico de drogas,4286.0,4482.0,4.6
    Resto de infracciones penales,282993.0,338405.0,19.6
    TOTAL INFRACCIONES PENALES,430176.0,550150.0,27.9
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,16.0,13.0,-18.8
    2.-Homicidios dolosos y asesinatos en grado tentativa,43.0,56.0,30.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,659.0,989.0,50.1
    4.-Secuestro,2.0,4.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,583.0,751.0,28.8
    5.1.-Agresion sexual con penetracion,56.0,76.0,35.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,527.0,675.0,28.1
    6.-Robos con violencia e intimidacion,1176.0,1792.0,52.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3655.0,4404.0,20.5
    7.1.-Robos con fuerza en domicilios,2494.0,3013.0,20.8
    8.-Hurtos,13153.0,20242.0,53.9
    9.-Sustracciones de vehiculos,978.0,1207.0,23.4
    10.-Trafico de drogas,1131.0,1132.0,0.1
    Resto de infracciones penales,48354.0,57818.0,19.6
    TOTAL INFRACCIONES PENALES,69750.0,88408.0,26.7
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,4.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,77.0,164.0,113.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,79.0,103.0,30.4
    5.1.-Agresion sexual con penetracion,7.0,11.0,57.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,72.0,92.0,27.8
    6.-Robos con violencia e intimidacion,162.0,346.0,113.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,413.0,643.0,55.7
    7.1.-Robos con fuerza en domicilios,285.0,408.0,43.2
    8.-Hurtos,1769.0,2622.0,48.2
    9.-Sustracciones de vehiculos,49.0,65.0,32.7
    10.-Trafico de drogas,102.0,90.0,-11.8
    Resto de infracciones penales,6545.0,7976.0,21.9
    TOTAL INFRACCIONES PENALES,9201.0,12016.0,30.6
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,54.0,90.0,66.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,54.0,56.0,3.7
    5.1.-Agresion sexual con penetracion,6.0,3.0,-50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,48.0,53.0,10.4
    6.-Robos con violencia e intimidacion,57.0,85.0,49.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,228.0,313.0,37.3
    7.1.-Robos con fuerza en domicilios,161.0,225.0,39.8
    8.-Hurtos,884.0,1510.0,70.8
    9.-Sustracciones de vehiculos,63.0,55.0,-12.7
    10.-Trafico de drogas,31.0,42.0,35.5
    Resto de infracciones penales,4583.0,5438.0,18.7
    TOTAL INFRACCIONES PENALES,5956.0,7589.0,27.4
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,13.0,116.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,87.0,179.0,105.7
    4.-Secuestro,3.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,154.0,150.0,-2.6
    5.1.-Agresion sexual con penetracion,19.0,14.0,-26.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,135.0,136.0,0.7
    6.-Robos con violencia e intimidacion,112.0,209.0,86.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,591.0,590.0,-0.2
    7.1.-Robos con fuerza en domicilios,409.0,399.0,-2.4
    8.-Hurtos,2224.0,3173.0,42.7
    9.-Sustracciones de vehiculos,195.0,277.0,42.1
