
Balances trimestrales de criminalidad - 2017. 2º Trimestre
Indicadores de seguridad 2017 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2016,Enero-junio 2017,Variación % 2017/2016,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,147.0,152.0,3.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,377.0,441.0,17.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,8310.0,8354.0,0.5,
    4.-Secuestro,53.0,34.0,-35.8,
    5.-Delitos contra la libertad e indemnidad sexual,5245.0,5715.0,9.0,
    5.1.-Agresión sexual con penetración,575.0,611.0,6.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,4670.0,5104.0,9.3,
    6.-Robos con violencia e intimidación,30554.0,30335.0,-0.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,82582.0,74056.0,-10.3,
    7.1.-Robos con fuerza en domicilios,57752.0,50938.0,-11.8,
    8.-Hurtos,348172.0,344199.0,-1.1,
    9.-Sustracciones de vehículos,20833.0,22104.0,6.1,
    10.-Tráfico de drogas,6079.0,6457.0,6.2,
    TOTAL INFRACCIONES PENALES,992476.0,999924.0,0.8,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,24.0,28.0,16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,112.0,122.0,8.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1361.0,1448.0,6.4,
    4.-Secuestro,7.0,10.0,42.9,
    5.-Delitos contra la libertad e indemnidad sexual,926.0,1046.0,13.0,
    5.1.-Agresión sexual con penetración,79.0,77.0,-2.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,847.0,969.0,14.4,
    6.-Robos con violencia e intimidación,3727.0,3745.0,0.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,13492.0,13015.0,-3.5,
    7.1.-Robos con fuerza en domicilios,9318.0,8961.0,-3.8,
    8.-Hurtos,55107.0,51775.0,-6.0,
    9.-Sustracciones de vehículos,4186.0,4601.0,9.9,
    10.-Tráfico de drogas,1518.0,1754.0,15.5,
    TOTAL INFRACCIONES PENALES,165163.0,167683.0,1.5,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,7.0,2.0,-71.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,10.0,25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,204.0,185.0,-9.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,141.0,115.0,-18.4,
    5.1.-Agresión sexual con penetración,9.0,12.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,132.0,103.0,-22.0,
    6.-Robos con violencia e intimidación,464.0,407.0,-12.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1359.0,1311.0,-3.5,
    7.1.-Robos con fuerza en domicilios,960.0,900.0,-6.3,
    8.-Hurtos,5942.0,5594.0,-5.9,
    9.-Sustracciones de vehículos,169.0,231.0,36.7,
    10.-Tráfico de drogas,106.0,139.0,31.1,
    TOTAL INFRACCIONES PENALES,18830.0,18942.0,0.6,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,5.0,-28.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,179.0,181.0,1.1,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,70.0,72.0,2.9,
    5.1.-Agresión sexual con penetración,9.0,8.0,-11.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,61.0,64.0,4.9,
    6.-Robos con violencia e intimidación,291.0,207.0,-28.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,981.0,862.0,-12.1,
    7.1.-Robos con fuerza en domicilios,546.0,511.0,-6.4,
    8.-Hurtos,3656.0,3618.0,-1.0,
    9.-Sustracciones de vehículos,170.0,213.0,25.3,
    10.-Tráfico de drogas,45.0,58.0,28.9,
    TOTAL INFRACCIONES PENALES,12882.0,12647.0,-1.8,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,12.0,20.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,292.0,285.0,-2.4,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,206.0,214.0,3.9,
    5.1.-Agresión sexual con penetración,21.0,21.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,185.0,193.0,4.3,
    6.-Robos con violencia e intimidación,447.0,584.0,30.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1985.0,1701.0,-14.3,
    7.1.-Robos con fuerza en domicilios,1433.0,1176.0,-17.9,
    8.-Hurtos,11373.0,11184.0,-1.7,
    9.-Sustracciones de vehículos,739.0,733.0,-0.8,
    10.-Tráfico de drogas,209.0,169.0,-19.1,
    TOTAL INFRACCIONES PENALES,29360.0,30454.0,3.7,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,10.0,11.0,10.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,21.0,23.0,9.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,515.0,531.0,3.1,
    4.-Secuestro,1.0,3.0,200.0,
