
Balances trimestrales de criminalidad - 2018. 1er Trimestre
Indicadores de seguridad 2018 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2017,Enero-marzo 2018,Variación % 2018/2017,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,79.0,73.0,-7.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,208.0,171.0,-17.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3953.0,3915.0,-1.0,
    4.-Secuestro,15.0,22.0,46.7,
    5.-Delitos contra la libertad e indemnidad sexual,2658.0,3026.0,13.8,
    5.1.-Agresión sexual con penetración,290.0,379.0,30.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2368.0,2647.0,11.8,
    6.-Robos con violencia e intimidación,15477.0,14384.0,-7.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,39634.0,40265.0,1.6,
    7.1.-Robos con fuerza en domicilios,27384.0,28719.0,4.9,
    8.-Hurtos,168449.0,165036.0,-2.0,
    9.-Sustracciones de vehículos,10926.0,8777.0,-19.7,
    10.-Tráfico de drogas,3011.0,3156.0,4.8,
    TOTAL INFRACCIONES PENALES,495627.0,503670.0,1.6,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,12.0,16.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,55.0,32.0,-41.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,679.0,644.0,-5.2,
    4.-Secuestro,1.0,7.0,600.0,
    5.-Delitos contra la libertad e indemnidad sexual,509.0,499.0,-2.0,
    5.1.-Agresión sexual con penetración,35.0,41.0,17.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,474.0,458.0,-3.4,
    6.-Robos con violencia e intimidación,1922.0,1717.0,-10.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6927.0,6285.0,-9.3,
    7.1.-Robos con fuerza en domicilios,4724.0,4229.0,-10.5,
    8.-Hurtos,25149.0,22364.0,-11.1,
    9.-Sustracciones de vehículos,2270.0,1783.0,-21.5,
    10.-Tráfico de drogas,833.0,836.0,0.4,
    TOTAL INFRACCIONES PENALES,83097.0,78377.0,-5.7,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,91.0,115.0,26.4,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,56.0,72.0,28.6,
    5.1.-Agresión sexual con penetración,2.0,7.0,250.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,54.0,65.0,20.4,
    6.-Robos con violencia e intimidación,218.0,194.0,-11.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,681.0,618.0,-9.3,
    7.1.-Robos con fuerza en domicilios,514.0,434.0,-15.6,
    8.-Hurtos,2956.0,2406.0,-18.6,
    9.-Sustracciones de vehículos,99.0,75.0,-24.2,
    10.-Tráfico de drogas,63.0,51.0,-19.0,
    TOTAL INFRACCIONES PENALES,9452.0,8930.0,-5.5,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,2.0,-50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,96.0,83.0,-13.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,39.0,36.0,-7.7,
    5.1.-Agresión sexual con penetración,5.0,5.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,34.0,31.0,-8.8,
    6.-Robos con violencia e intimidación,110.0,68.0,-38.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,452.0,431.0,-4.6,
    7.1.-Robos con fuerza en domicilios,285.0,223.0,-21.8,
    8.-Hurtos,1771.0,1636.0,-7.6,
    9.-Sustracciones de vehículos,112.0,57.0,-49.1,
    10.-Tráfico de drogas,28.0,20.0,-28.6,
    TOTAL INFRACCIONES PENALES,6360.0,6077.0,-4.4,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,7.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,108.0,126.0,16.7,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,86.0,105.0,22.1,
    5.1.-Agresión sexual con penetración,8.0,7.0,-12.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,78.0,98.0,25.6,
    6.-Robos con violencia e intimidación,236.0,240.0,1.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,812.0,1044.0,28.6,
    7.1.-Robos con fuerza en domicilios,539.0,699.0,29.7,
    8.-Hurtos,3607.0,3638.0,0.9,
    9.-Sustracciones de vehículos,302.0,310.0,2.6,
    10.-Tráfico de drogas,39.0,59.0,51.3,
    TOTAL INFRACCIONES PENALES,12152.0,12816.0,5.5,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,4.0,8.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,7.0,-30.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,293.0,225.0,-23.2,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,140.0,186.0,32.9,
    5.1.-Agresión sexual con penetración,12.0,24.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,128.0,162.0,26.6,
    6.-Robos con violencia e intimidación,406.0,390.0,-3.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1449.0,1496.0,3.2,
    7.1.-Robos con fuerza en domicilios,859.0,956.0,11.3,
    8.-Hurtos,9322.0,8441.0,-9.5,
    9.-Sustracciones de vehículos,469.0,336.0,-28.4,
    10.-Tráfico de drogas,163.0,162.0,-0.6,
    TOTAL INFRACCIONES PENALES,24706.0,23525.0,-4.8,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,54.0,51.0,-5.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,19.0,24.0,26.3,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,18.0,23.0,27.8,
    6.-Robos con violencia e intimidación,43.0,44.0,2.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,398.0,445.0,11.8,
    7.1.-Robos con fuerza en domicilios,214.0,291.0,36.0,
    8.-Hurtos,1075.0,1086.0,1.0,
    9.-Sustracciones de vehículos,59.0,38.0,-35.6,
    10.-Tráfico de drogas,13.0,17.0,30.8,
    TOTAL INFRACCIONES PENALES,4104.0,4028.0,-1.9,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,5.0,25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,138.0,178.0,29.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,88.0,79.0,-10.2,
    5.1.-Agresión sexual con penetración,6.0,10.0,66.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,82.0,69.0,-15.9,
    6.-Robos con violencia e intimidación,192.0,169.0,-12.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1477.0,1330.0,-10.0,
    7.1.-Robos con fuerza en domicilios,811.0,891.0,9.9,
    8.-Hurtos,5008.0,4554.0,-9.1,
    9.-Sustracciones de vehículos,202.0,139.0,-31.2,
    10.-Tráfico de drogas,57.0,72.0,26.3,
    TOTAL INFRACCIONES PENALES,17610.0,17261.0,-2.0,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,3.0,-62.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,6.0,-14.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,119.0,110.0,-7.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,75.0,107.0,42.7,
    5.1.-Agresión sexual con penetración,9.0,10.0,11.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,66.0,97.0,47.0,
    6.-Robos con violencia e intimidación,242.0,202.0,-16.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2293.0,2112.0,-7.9,
    7.1.-Robos con fuerza en domicilios,1598.0,1602.0,0.3,
    8.-Hurtos,3687.0,3495.0,-5.2,
    9.-Sustracciones de vehículos,390.0,159.0,-59.2,
    10.-Tráfico de drogas,75.0,86.0,14.7,
    TOTAL INFRACCIONES PENALES,16078.0,16186.0,0.7,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,9.0,-18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,38.0,35.0,-7.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,652.0,727.0,11.5,
    4.-Secuestro,2.0,3.0,50.0,
    5.-Delitos contra la libertad e indemnidad sexual,521.0,612.0,17.5,
    5.1.-Agresión sexual con penetración,81.0,110.0,35.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,440.0,502.0,14.1,
    6.-Robos con violencia e intimidación,5142.0,5209.0,1.3,
