
Balances trimestrales de criminalidad - 2018. 2º Trimestre
Indicadores de seguridad 2018 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2017,Enero-junio 2018,Variación % 2018/2017,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,151.0,145.0,-4.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,428.0,354.0,-17.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,8349.0,8313.0,-0.4,
    4.-Secuestro,33.0,36.0,9.1,
    5.-Delitos contra la libertad e indemnidad sexual,5696.0,6520.0,14.5,
    5.1.-Agresión sexual con penetración,615.0,801.0,30.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5081.0,5719.0,12.6,
    6.-Robos con violencia e intimidación,30099.0,28281.0,-6.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,74024.0,75350.0,1.8,
    7.1.-Robos con fuerza en domicilios,50913.0,53463.0,5.0,
    8.-Hurtos,343862.0,340915.0,-0.9,
    9.-Sustracciones de vehículos,22055.0,17681.0,-19.8,
    10.-Tráfico de drogas,6461.0,6905.0,6.9,
    TOTAL INFRACCIONES PENALES,998911.0,1025713.0,2.7,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,27.0,40.0,48.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,116.0,78.0,-32.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1436.0,1329.0,-7.5,
    4.-Secuestro,9.0,13.0,44.4,
    5.-Delitos contra la libertad e indemnidad sexual,1033.0,1168.0,13.1,
    5.1.-Agresión sexual con penetración,78.0,94.0,20.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,955.0,1074.0,12.5,
    6.-Robos con violencia e intimidación,3698.0,3473.0,-6.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,13021.0,11757.0,-9.7,
    7.1.-Robos con fuerza en domicilios,8962.0,7929.0,-11.5,
    8.-Hurtos,51669.0,46818.0,-9.4,
    9.-Sustracciones de vehículos,4591.0,3428.0,-25.3,
    10.-Tráfico de drogas,1753.0,1850.0,5.5,
    TOTAL INFRACCIONES PENALES,167406.0,162745.0,-2.8,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,2.0,-80.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,184.0,230.0,25.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,114.0,154.0,35.1,
    5.1.-Agresión sexual con penetración,12.0,16.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,102.0,138.0,35.3,
    6.-Robos con violencia e intimidación,402.0,377.0,-6.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1311.0,1193.0,-9.0,
    7.1.-Robos con fuerza en domicilios,901.0,850.0,-5.7,
    8.-Hurtos,5579.0,4832.0,-13.4,
    9.-Sustracciones de vehículos,232.0,155.0,-33.2,
    10.-Tráfico de drogas,139.0,141.0,1.4,
    TOTAL INFRACCIONES PENALES,18877.0,18242.0,-3.4,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,7.0,40.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,180.0,175.0,-2.8,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,72.0,103.0,43.1,
    5.1.-Agresión sexual con penetración,8.0,8.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,64.0,95.0,48.4,
    6.-Robos con violencia e intimidación,205.0,164.0,-20.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,861.0,754.0,-12.4,
    7.1.-Robos con fuerza en domicilios,510.0,405.0,-20.6,
    8.-Hurtos,3613.0,3349.0,-7.3,
    9.-Sustracciones de vehículos,210.0,115.0,-45.2,
    10.-Tráfico de drogas,58.0,48.0,-17.2,
    TOTAL INFRACCIONES PENALES,12615.0,12371.0,-1.9,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,12.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,285.0,311.0,9.1,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,214.0,257.0,20.1,
    5.1.-Agresión sexual con penetración,21.0,23.0,9.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,193.0,234.0,21.2,
    6.-Robos con violencia e intimidación,584.0,532.0,-8.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1702.0,1972.0,15.9,
    7.1.-Robos con fuerza en domicilios,1176.0,1419.0,20.7,
    8.-Hurtos,11168.0,11016.0,-1.4,
    9.-Sustracciones de vehículos,737.0,684.0,-7.2,
    10.-Tráfico de drogas,169.0,204.0,20.7,
    TOTAL INFRACCIONES PENALES,30420.0,30926.0,1.7,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,11.0,17.0,54.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,16.0,-30.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,531.0,468.0,-11.9,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,289.0,365.0,26.3,
    5.1.-Agresión sexual con penetración,29.0,52.0,79.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,260.0,313.0,20.4,
    6.-Robos con violencia e intimidación,724.0,734.0,1.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2803.0,2702.0,-3.6,
    7.1.-Robos con fuerza en domicilios,1682.0,1758.0,4.5,
    8.-Hurtos,15975.0,14291.0,-10.5,
    9.-Sustracciones de vehículos,944.0,640.0,-32.2,
    10.-Tráfico de drogas,324.0,360.0,11.1,
    TOTAL INFRACCIONES PENALES,46436.0,44229.0,-4.8,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,104.0,124.0,19.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,40.0,43.0,7.5,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,38.0,41.0,7.9,
    6.-Robos con violencia e intimidación,99.0,76.0,-23.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,765.0,779.0,1.8,
    7.1.-Robos con fuerza en domicilios,416.0,487.0,17.1,
    8.-Hurtos,2283.0,2216.0,-2.9,
    9.-Sustracciones de vehículos,128.0,74.0,-42.2,
    10.-Tráfico de drogas,23.0,40.0,73.9,
    TOTAL INFRACCIONES PENALES,8396.0,8301.0,-1.1,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,5.0,5.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,11.0,22.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,298.0,346.0,16.1,
