
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,236.0,227.0,-3.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,649.0,580.0,-10.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,13385.0,13762.0,2.8,
    4.-Secuestro,49.0,54.0,10.2,
    5.-Delitos contra la libertad e indemnidad sexual,8972.0,10445.0,16.4,
    5.1.-Agresión sexual con penetración,1061.0,1305.0,23.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7911.0,9140.0,15.5,
    6.-Robos con violencia e intimidación,45833.0,44142.0,-3.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,110274.0,111908.0,1.5,
    7.1.-Robos con fuerza en domicilios,77334.0,79893.0,3.3,
    8.-Hurtos,536284.0,529267.0,-1.3,
    9.-Sustracciones de vehículos,32473.0,26862.0,-17.3,
    10.-Tráfico de drogas,10114.0,10834.0,7.1,
    TOTAL INFRACCIONES PENALES,1526385.0,1582879.0,3.7,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,38.0,54.0,42.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,169.0,134.0,-20.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2260.0,2198.0,-2.7,
    4.-Secuestro,13.0,21.0,61.5,
    5.-Delitos contra la libertad e indemnidad sexual,1572.0,1812.0,15.3,
    5.1.-Agresión sexual con penetración,134.0,154.0,14.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1438.0,1658.0,15.3,
    6.-Robos con violencia e intimidación,5693.0,5310.0,-6.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,19004.0,17425.0,-8.3,
    7.1.-Robos con fuerza en domicilios,13401.0,12013.0,-10.4,
    8.-Hurtos,79303.0,71759.0,-9.5,
    9.-Sustracciones de vehículos,6753.0,5228.0,-22.6,
    10.-Tráfico de drogas,2691.0,2858.0,6.2,
    TOTAL INFRACCIONES PENALES,253434.0,250539.0,-1.1,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,5.0,-54.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,303.0,363.0,19.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,193.0,253.0,31.1,
    5.1.-Agresión sexual con penetración,21.0,26.0,23.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,172.0,227.0,32.0,
    6.-Robos con violencia e intimidación,566.0,604.0,6.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1919.0,1794.0,-6.5,
    7.1.-Robos con fuerza en domicilios,1327.0,1280.0,-3.5,
    8.-Hurtos,8083.0,7384.0,-8.6,
    9.-Sustracciones de vehículos,326.0,217.0,-33.4,
    10.-Tráfico de drogas,214.0,235.0,9.8,
    TOTAL INFRACCIONES PENALES,27972.0,28574.0,2.2,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,7.0,600.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,8.0,-20.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,267.0,259.0,-3.0,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,114.0,163.0,43.0,
    5.1.-Agresión sexual con penetración,16.0,14.0,-12.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,98.0,149.0,52.0,
    6.-Robos con violencia e intimidación,300.0,255.0,-15.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1323.0,1094.0,-17.3,
    7.1.-Robos con fuerza en domicilios,768.0,612.0,-20.3,
    8.-Hurtos,5511.0,5392.0,-2.2,
    9.-Sustracciones de vehículos,315.0,169.0,-46.3,
    10.-Tráfico de drogas,105.0,98.0,-6.7,
