
Balances trimestrales de criminalidad - 2018. 4º Trimestre
Indicadores de seguridad 2018 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2017,Enero-diciembre 2018,Variación % 2018/2017,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,307.0,289.0,-5.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,799.0,798.0,-0.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,18086.0,18252.0,0.9,
    4.-Secuestro,69.0,81.0,17.4,
    5.-Delitos contra la libertad e indemnidad sexual,11692.0,13811.0,18.1,
    5.1.-Agresión sexual con penetración,1387.0,1702.0,22.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,10305.0,12109.0,17.5,
    6.-Robos con violencia e intimidación,61763.0,60677.0,-1.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,149651.0,150579.0,0.6,
    7.1.-Robos con fuerza en domicilios,105095.0,107012.0,1.8,
    8.-Hurtos,712398.0,705249.0,-1.0,
    9.-Sustracciones de vehículos,42519.0,36152.0,-15.0,
    10.-Tráfico de drogas,12958.0,14125.0,9.0,
    Resto de infracciones penales,1035542.0,1131411.0,9.3,
    TOTAL INFRACCIONES PENALES,2045784.0,2131424.0,4.2,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,49.0,72.0,46.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,207.0,190.0,-8.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2930.0,2917.0,-0.4,
    4.-Secuestro,15.0,26.0,73.3,
    5.-Delitos contra la libertad e indemnidad sexual,2064.0,2348.0,13.8,
    5.1.-Agresión sexual con penetración,173.0,201.0,16.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1891.0,2147.0,13.5,
    6.-Robos con violencia e intimidación,7668.0,7153.0,-6.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,24718.0,23032.0,-6.8,
    7.1.-Robos con fuerza en domicilios,17276.0,15710.0,-9.1,
    8.-Hurtos,103746.0,93290.0,-10.1,
    9.-Sustracciones de vehículos,8755.0,6934.0,-20.8,
    10.-Tráfico de drogas,3472.0,3656.0,5.3,
    Resto de infracciones penales,180707.0,193581.0,7.1,
    TOTAL INFRACCIONES PENALES,334331.0,333199.0,-0.3,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,8.0,9.0,12.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,8.0,-46.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,390.0,490.0,25.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,274.0,344.0,25.5,
    5.1.-Agresión sexual con penetración,27.0,33.0,22.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,247.0,311.0,25.9,
    6.-Robos con violencia e intimidación,798.0,930.0,16.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2555.0,2498.0,-2.2,
    7.1.-Robos con fuerza en domicilios,1787.0,1746.0,-2.3,
    8.-Hurtos,11004.0,10629.0,-3.4,
    9.-Sustracciones de vehículos,392.0,287.0,-26.8,
    10.-Tráfico de drogas,270.0,336.0,24.4,
    Resto de infracciones penales,22172.0,24724.0,11.5,
    TOTAL INFRACCIONES PENALES,37878.0,40255.0,6.3,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,5.0,7.0,40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,11.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,328.0,371.0,13.1,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,146.0,207.0,41.8,
    5.1.-Agresión sexual con penetración,20.0,17.0,-15.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,126.0,190.0,50.8,
    6.-Robos con violencia e intimidación,371.0,356.0,-4.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1737.0,1488.0,-14.3,
    7.1.-Robos con fuerza en domicilios,956.0,868.0,-9.2,
    8.-Hurtos,7261.0,7209.0,-0.7,
    9.-Sustracciones de vehículos,394.0,218.0,-44.7,
    10.-Tráfico de drogas,130.0,140.0,7.7,
    Resto de infracciones penales,15269.0,16443.0,7.7,
    TOTAL INFRACCIONES PENALES,25652.0,26453.0,3.1,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,4.0,8.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,28.0,36.0,28.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,705.0,801.0,13.6,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,517.0,584.0,13.0,
    5.1.-Agresión sexual con penetración,50.0,73.0,46.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,467.0,511.0,9.4,
    6.-Robos con violencia e intimidación,1354.0,1235.0,-8.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4281.0,4080.0,-4.7,
    7.1.-Robos con fuerza en domicilios,3125.0,3048.0,-2.5,
    8.-Hurtos,29183.0,27502.0,-5.8,
    9.-Sustracciones de vehículos,1717.0,1448.0,-15.7,
    10.-Tráfico de drogas,483.0,514.0,6.4,
    Resto de infracciones penales,33885.0,36735.0,8.4,
    TOTAL INFRACCIONES PENALES,72157.0,72944.0,1.1,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,20.0,24.0,20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,36.0,41.0,13.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1058.0,1062.0,0.4,
    4.-Secuestro,4.0,2.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,625.0,751.0,20.2,
    5.1.-Agresión sexual con penetración,80.0,88.0,10.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,545.0,663.0,21.7,
    6.-Robos con violencia e intimidación,1436.0,1495.0,4.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5347.0,5012.0,-6.3,
    7.1.-Robos con fuerza en domicilios,3263.0,3232.0,-1.0,
    8.-Hurtos,30127.0,27277.0,-9.5,
    9.-Sustracciones de vehículos,1797.0,1374.0,-23.5,
    10.-Tráfico de drogas,597.0,623.0,4.4,
    Resto de infracciones penales,50312.0,52905.0,5.2,
    TOTAL INFRACCIONES PENALES,91359.0,90566.0,-0.9,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,3.0,-25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,245.0,275.0,12.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,84.0,102.0,21.4,
    5.1.-Agresión sexual con penetración,8.0,8.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,76.0,94.0,23.7,
    6.-Robos con violencia e intimidación,214.0,180.0,-15.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1639.0,1574.0,-4.0,
    7.1.-Robos con fuerza en domicilios,939.0,974.0,3.7,
    8.-Hurtos,4983.0,4654.0,-6.6,
    9.-Sustracciones de vehículos,207.0,124.0,-40.1,
    10.-Tráfico de drogas,63.0,87.0,38.1,
    Resto de infracciones penales,9998.0,10654.0,6.6,
    TOTAL INFRACCIONES PENALES,17440.0,17655.0,1.2,
CASTILLA Y LEÓN,
