
Balance de criminalidad. 2020 - 1er Trimestre - CCAA
Indicadores de seguridad 2020 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2019,Enero-marzo 2020,Variación % 2020/2019,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,76.0,84.0,10.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,195.0,184.0,-5.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4484.0,4087.0,-8.9,
    4.-Secuestro,24.0,19.0,-20.8,
    5.-Delitos contra la libertad e indemnidad sexual,3570.0,3355.0,-6.0,
    5.1.-Agresión sexual con penetración,376.0,428.0,13.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,3194.0,2927.0,-8.4,
    6.-Robos con violencia e intimidación,15400.0,14602.0,-5.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,37104.0,31933.0,-13.9,
    7.1.-Robos con fuerza en domicilios,25243.0,21090.0,-16.5,
    8.-Hurtos,168817.0,138598.0,-17.9,
    9.-Sustracciones de vehículos,8847.0,7470.0,-15.6,
    10.-Tráfico de drogas,3797.0,3856.0,1.6,
    Resto de infracciones penales,286752.0,277684.0,-3.2,
    TOTAL INFRACCIONES PENALES,529066.0,481872.0,-8.9,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,15.0,17.0,13.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,50.0,66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,723.0,767.0,6.1,
    4.-Secuestro,12.0,6.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,599.0,532.0,-11.2,
    5.1.-Agresión sexual con penetración,54.0,57.0,5.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,545.0,475.0,-12.8,
    6.-Robos con violencia e intimidación,1722.0,1570.0,-8.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5732.0,5188.0,-9.5,
    7.1.-Robos con fuerza en domicilios,3756.0,3465.0,-7.7,
    8.-Hurtos,21609.0,18095.0,-16.3,
    9.-Sustracciones de vehículos,1647.0,1374.0,-16.6,
    10.-Tráfico de drogas,988.0,1038.0,5.1,
    Resto de infracciones penales,48204.0,47517.0,-1.4,
    TOTAL INFRACCIONES PENALES,81281.0,76154.0,-6.3,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,6.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,107.0,93.0,-13.1,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,69.0,84.0,21.7,
    5.1.-Agresión sexual con penetración,6.0,10.0,66.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,63.0,74.0,17.5,
    6.-Robos con violencia e intimidación,255.0,221.0,-13.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,597.0,488.0,-18.3,
    7.1.-Robos con fuerza en domicilios,394.0,313.0,-20.6,
    8.-Hurtos,2702.0,2091.0,-22.6,
    9.-Sustracciones de vehículos,56.0,55.0,-1.8,
    10.-Tráfico de drogas,83.0,59.0,-28.9,
    Resto de infracciones penales,6517.0,6000.0,-7.9,
    TOTAL INFRACCIONES PENALES,10389.0,9098.0,-12.4,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,96.0,85.0,-11.5,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,39.0,44.0,12.8,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,39.0,42.0,7.7,
    6.-Robos con violencia e intimidación,93.0,99.0,6.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,418.0,374.0,-10.5,
    7.1.-Robos con fuerza en domicilios,233.0,185.0,-20.6,
    8.-Hurtos,1725.0,1359.0,-21.2,
    9.-Sustracciones de vehículos,38.0,63.0,65.8,
    10.-Tráfico de drogas,48.0,35.0,-27.1,
    Resto de infracciones penales,4081.0,4122.0,1.0,
    TOTAL INFRACCIONES PENALES,6540.0,6185.0,-5.4,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,5.0,-50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,160.0,149.0,-6.9,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,147.0,119.0,-19.0,
    5.1.-Agresión sexual con penetración,10.0,17.0,70.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,137.0,102.0,-25.5,
    6.-Robos con violencia e intimidación,228.0,199.0,-12.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,903.0,683.0,-24.4,
    7.1.-Robos con fuerza en domicilios,665.0,480.0,-27.8,
    8.-Hurtos,3896.0,2998.0,-23.0,
    9.-Sustracciones de vehículos,227.0,275.0,21.1,
    10.-Tráfico de drogas,67.0,75.0,11.9,
    Resto de infracciones penales,9001.0,9716.0,7.9,
    TOTAL INFRACCIONES PENALES,14640.0,14220.0,-2.9,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,11.0,57.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,297.0,240.0,-19.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,228.0,231.0,1.3,
    5.1.-Agresión sexual con penetración,8.0,27.0,237.5,
