
Balance de criminalidad. 2020 - 3er Trimestre - CCAA
Indicadores de seguridad 2020 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2019,Enero-septiembre 2020,Variación % 2020/2019,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,249.0,232.0,-6.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,627.0,725.0,15.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,15080.0,12469.0,-17.3,
    4.-Secuestro,71.0,61.0,-14.1,
    5.-Delitos contra la libertad e indemnidad sexual,11571.0,10154.0,-12.2,
    5.1.-Agresión sexual con penetración,1405.0,1281.0,-8.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,10166.0,8873.0,-12.7,
    6.-Robos con violencia e intimidación,48272.0,35213.0,-27.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,105064.0,77498.0,-26.2,
    7.1.-Robos con fuerza en domicilios,72231.0,52891.0,-26.8,
    8.-Hurtos,529192.0,309913.0,-41.4,
    9.-Sustracciones de vehículos,26166.0,19395.0,-25.9,
    10.-Tráfico de drogas,12693.0,12662.0,-0.2,
    Resto de infracciones penales,895932.0,834159.0,-6.9,
    TOTAL INFRACCIONES PENALES,1644917.0,1312481.0,-20.2,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,60.0,47.0,-21.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,111.0,190.0,71.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2558.0,2315.0,-9.5,
    4.-Secuestro,26.0,18.0,-30.8,
    5.-Delitos contra la libertad e indemnidad sexual,1886.0,1665.0,-11.7,
    5.1.-Agresión sexual con penetración,189.0,175.0,-7.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1697.0,1490.0,-12.2,
    6.-Robos con violencia e intimidación,5393.0,4012.0,-25.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,16569.0,13426.0,-19.0,
    7.1.-Robos con fuerza en domicilios,11339.0,9387.0,-17.2,
    8.-Hurtos,69593.0,43932.0,-36.9,
    9.-Sustracciones de vehículos,4967.0,3719.0,-25.1,
    10.-Tráfico de drogas,3308.0,3456.0,4.5,
    Resto de infracciones penales,150751.0,144050.0,-4.4,
    TOTAL INFRACCIONES PENALES,255222.0,216830.0,-15.0,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,5.0,4.0,-20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,26.0,333.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,405.0,312.0,-23.0,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,232.0,222.0,-4.3,
    5.1.-Agresión sexual con penetración,18.0,30.0,66.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,214.0,192.0,-10.3,
    6.-Robos con violencia e intimidación,764.0,609.0,-20.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1773.0,1396.0,-21.3,
    7.1.-Robos con fuerza en domicilios,1189.0,846.0,-28.8,
    8.-Hurtos,7556.0,4969.0,-34.2,
    9.-Sustracciones de vehículos,157.0,153.0,-2.5,
    10.-Tráfico de drogas,263.0,222.0,-15.6,
    Resto de infracciones penales,20181.0,18817.0,-6.8,
    TOTAL INFRACCIONES PENALES,31344.0,26730.0,-14.7,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,7.0,-30.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,299.0,205.0,-31.4,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,146.0,163.0,11.6,
    5.1.-Agresión sexual con penetración,8.0,11.0,37.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,138.0,152.0,10.1,
    6.-Robos con violencia e intimidación,269.0,261.0,-3.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1108.0,898.0,-19.0,
    7.1.-Robos con fuerza en domicilios,639.0,523.0,-18.2,
    8.-Hurtos,5155.0,3221.0,-37.5,
    9.-Sustracciones de vehículos,150.0,196.0,30.7,
    10.-Tráfico de drogas,162.0,137.0,-15.4,
    Resto de infracciones penales,13037.0,13030.0,-0.1,
    TOTAL INFRACCIONES PENALES,20341.0,18122.0,-10.9,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,34.0,26.0,-23.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,651.0,496.0,-23.8,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,589.0,410.0,-30.4,
    5.1.-Agresión sexual con penetración,74.0,49.0,-33.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,515.0,361.0,-29.9,
    6.-Robos con violencia e intimidación,1077.0,575.0,-46.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2741.0,1881.0,-31.4,
    7.1.-Robos con fuerza en domicilios,2015.0,1380.0,-31.5,
    8.-Hurtos,21400.0,9515.0,-55.5,
    9.-Sustracciones de vehículos,1072.0,797.0,-25.7,
    10.-Tráfico de drogas,553.0,347.0,-37.3,
    Resto de infracciones penales,32056.0,30931.0,-3.5,
    TOTAL INFRACCIONES PENALES,60180.0,44985.0,-25.2,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,16.0,8.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,33.0,32.0,-3.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,884.0,689.0,-22.1,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,693.0,663.0,-4.3,
    5.1.-Agresión sexual con penetración,54.0,74.0,37.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,639.0,589.0,-7.8,
    6.-Robos con violencia e intimidación,1123.0,827.0,-26.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3087.0,2643.0,-14.4,
    7.1.-Robos con fuerza en domicilios,2067.0,1748.0,-15.4,
    8.-Hurtos,19348.0,12765.0,-34.0,
    9.-Sustracciones de vehículos,937.0,760.0,-18.9,
    10.-Tráfico de drogas,476.0,458.0,-3.8,
    Resto de infracciones penales,44852.0,43181.0,-3.7,
    TOTAL INFRACCIONES PENALES,71449.0,62028.0,-13.2,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,3.0,-50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,220.0,189.0,-14.1,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,84.0,66.0,-21.4,
    5.1.-Agresión sexual con penetración,7.0,9.0,28.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,77.0,57.0,-26.0,
    6.-Robos con violencia e intimidación,138.0,135.0,-2.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1181.0,1059.0,-10.3,
    7.1.-Robos con fuerza en domicilios,754.0,663.0,-12.1,
    8.-Hurtos,3747.0,2513.0,-32.9,
    9.-Sustracciones de vehículos,90.0,87.0,-3.3,
    10.-Tráfico de drogas,67.0,78.0,16.4,
    Resto de infracciones penales,8171.0,8397.0,2.8,
    TOTAL INFRACCIONES PENALES,13708.0,12530.0,-8.6,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,7.0,15.0,114.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,23.0,-8.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,553.0,427.0,-22.8,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,386.0,294.0,-23.8,
    5.1.-Agresión sexual con penetración,34.0,29.0,-14.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,352.0,265.0,-24.7,
    6.-Robos con violencia e intimidación,503.0,398.0,-20.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3525.0,2526.0,-28.3,
    7.1.-Robos con fuerza en domicilios,2206.0,1597.0,-27.6,
    8.-Hurtos,14104.0,8392.0,-40.5,
    9.-Sustracciones de vehículos,418.0,310.0,-25.8,
    10.-Tráfico de drogas,337.0,370.0,9.8,
    Resto de infracciones penales,36696.0,34718.0,-5.4,
    TOTAL INFRACCIONES PENALES,56556.0,47474.0,-16.1,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,9.0,-18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,23.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,502.0,447.0,-11.0,
    4.-Secuestro,0.0,4.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,404.0,333.0,-17.6,
    5.1.-Agresión sexual con penetración,35.0,33.0,-5.7,
