
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,298.0,290.0,-2.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,903.0,1032.0,14.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,16001.0,20252.0,26.6,
    4.-Secuestro,76.0,97.0,27.6,
    5.-Delitos contra la libertad e indemnidad sexual,13174.0,17016.0,29.2,
    5.1.-Agresión sexual con penetración,1596.0,2143.0,34.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,11578.0,14873.0,28.5,
    6.-Robos con violencia e intimidación,45263.0,53073.0,17.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,106106.0,105274.0,-0.8,
    7.1.-Robos con fuerza en domicilios,72380.0,75501.0,4.3,
    8.-Hurtos,420950.0,493479.0,17.2,
    9.-Sustracciones de vehículos,25387.0,26417.0,4.1,
    10.-Tráfico de drogas,17112.0,18313.0,7.0,
    Resto de infracciones penales,1121509.0,1222476.0,9.0,
    TOTAL INFRACCIONES PENALES,1766779.0,1957719.0,10.8,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,61.0,55.0,-9.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,237.0,219.0,-7.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3057.0,3648.0,19.3,
    4.-Secuestro,21.0,27.0,28.6,
    5.-Delitos contra la libertad e indemnidad sexual,2204.0,2690.0,22.1,
    5.1.-Agresión sexual con penetración,238.0,281.0,18.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1966.0,2409.0,22.5,
    6.-Robos con violencia e intimidación,5187.0,5911.0,14.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,17587.0,16381.0,-6.9,
    7.1.-Robos con fuerza en domicilios,12127.0,11457.0,-5.5,
    8.-Hurtos,57435.0,68916.0,20.0,
    9.-Sustracciones de vehículos,4821.0,4848.0,0.6,
    10.-Tráfico de drogas,4679.0,4816.0,2.9,
    Resto de infracciones penales,192305.0,207383.0,7.8,
