
Balance de criminalidad. 2022 - 2º Trimestre - CCAA
Indicadores de seguridad 2022 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2021,Enero-junio 2022,Variación % 2022/2021,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,142.0,158.0,11.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,466.0,545.0,17.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,8340.0,12359.0,48.2,
    4.-Secuestro,42.0,39.0,-7.1,
    5.-Delitos contra la libertad e indemnidad sexual,7885.0,9389.0,19.1,
    5.1.-Agresión sexual con penetración,955.0,1211.0,26.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,6930.0,8178.0,18.0,
    6.-Robos con violencia e intimidación,22892.0,30439.0,33.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,47005.0,57837.0,23.0,
    7.1.-Robos con fuerza en domicilios,33288.0,40797.0,22.6,
    8.-Hurtos,211787.0,306269.0,44.6,
    9.-Sustracciones de vehículos,12006.0,14852.0,23.7,
    10.-Tráfico de drogas,9064.0,9421.0,3.9,
    Resto de infracciones penales,577419.0,685839.0,18.8,
    TOTAL INFRACCIONES PENALES,897048.0,1127147.0,25.7,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,29.0,37.0,27.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,94.0,126.0,34.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1535.0,2251.0,46.6,
    4.-Secuestro,11.0,9.0,-18.2,
    5.-Delitos contra la libertad e indemnidad sexual,1328.0,1606.0,20.9,
    5.1.-Agresión sexual con penetración,142.0,164.0,15.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1186.0,1442.0,21.6,
    6.-Robos con violencia e intimidación,2540.0,3546.0,39.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7457.0,9181.0,23.1,
    7.1.-Robos con fuerza en domicilios,5133.0,6417.0,25.0,
    8.-Hurtos,29477.0,42940.0,45.7,
    9.-Sustracciones de vehículos,2262.0,2647.0,17.0,
    10.-Tráfico de drogas,2430.0,2387.0,-1.8,
    Resto de infracciones penales,99213.0,118450.0,19.4,
    TOTAL INFRACCIONES PENALES,146376.0,183180.0,25.1,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,5.0,6.0,20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,9.0,80.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,180.0,349.0,93.9,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,199.0,231.0,16.1,
    5.1.-Agresión sexual con penetración,19.0,27.0,42.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,180.0,204.0,13.3,
    6.-Robos con violencia e intimidación,339.0,659.0,94.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,878.0,1217.0,38.6,
    7.1.-Robos con fuerza en domicilios,617.0,746.0,20.9,
    8.-Hurtos,3856.0,5252.0,36.2,
    9.-Sustracciones de vehículos,113.0,134.0,18.6,
    10.-Tráfico de drogas,199.0,184.0,-7.5,
    Resto de infracciones penales,13218.0,15612.0,18.1,
    TOTAL INFRACCIONES PENALES,18993.0,23653.0,24.5,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,3.0,50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,137.0,216.0,57.7,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,118.0,137.0,16.1,
    5.1.-Agresión sexual con penetración,13.0,14.0,7.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,105.0,123.0,17.1,
    6.-Robos con violencia e intimidación,120.0,174.0,45.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,517.0,549.0,6.2,
    7.1.-Robos con fuerza en domicilios,320.0,374.0,16.9,
    8.-Hurtos,1912.0,3078.0,61.0,
    9.-Sustracciones de vehículos,142.0,133.0,-6.3,
    10.-Tráfico de drogas,79.0,81.0,2.5,
    Resto de infracciones penales,8995.0,11179.0,24.3,
    TOTAL INFRACCIONES PENALES,12023.0,15552.0,29.4,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,24.0,17.0,-29.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,272.0,541.0,98.9,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,340.0,408.0,20.0,
    5.1.-Agresión sexual con penetración,26.0,44.0,69.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,314.0,364.0,15.9,
    6.-Robos con violencia e intimidación,316.0,557.0,76.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1193.0,1294.0,8.5,
    7.1.-Robos con fuerza en domicilios,850.0,930.0,9.4,
    8.-Hurtos,5950.0,9922.0,66.8,
    9.-Sustracciones de vehículos,442.0,653.0,47.7,
    10.-Tráfico de drogas,163.0,233.0,42.9,
    Resto de infracciones penales,18165.0,19913.0,9.6,
    TOTAL INFRACCIONES PENALES,26872.0,33541.0,24.8,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,9.0,7.0,-22.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,26.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,522.0,585.0,12.1,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,442.0,569.0,28.7,
    5.1.-Agresión sexual con penetración,46.0,68.0,47.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,396.0,501.0,26.5,
    6.-Robos con violencia e intimidación,585.0,813.0,39.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1660.0,1772.0,6.7,
    7.1.-Robos con fuerza en domicilios,1184.0,1221.0,3.1,
    8.-Hurtos,7590.0,11870.0,56.4,
    9.-Sustracciones de vehículos,451.0,542.0,20.2,
    10.-Tráfico de drogas,284.0,409.0,44.0,
    Resto de infracciones penales,27105.0,30207.0,11.4,
    TOTAL INFRACCIONES PENALES,38661.0,46801.0,21.1,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,3.0,-62.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,119.0,185.0,55.5,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,65.0,82.0,26.2,
    5.1.-Agresión sexual con penetración,11.0,9.0,-18.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,54.0,73.0,35.2,
    6.-Robos con violencia e intimidación,72.0,125.0,73.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,608.0,866.0,42.4,
    7.1.-Robos con fuerza en domicilios,465.0,625.0,34.4,
    8.-Hurtos,1547.0,2298.0,48.5,
    9.-Sustracciones de vehículos,56.0,53.0,-5.4,
    10.-Tráfico de drogas,42.0,43.0,2.4,
    Resto de infracciones penales,6022.0,7955.0,32.1,
    TOTAL INFRACCIONES PENALES,8540.0,11611.0,36.0,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,11.0,7.0,-36.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,16.0,60.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,278.0,495.0,78.1,
    4.-Secuestro,1.0,1.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,244.0,325.0,33.2,
    5.1.-Agresión sexual con penetración,24.0,27.0,12.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,220.0,298.0,35.5,
    6.-Robos con violencia e intimidación,273.0,350.0,28.2,
