
Balance de criminalidad. 2022 - 3er Trimestre - CCAA
Indicadores de seguridad 2022 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2021,Enero-septiembre 2022,Variación % 2022/2021,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,208.0,237.0,13.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,744.0,868.0,16.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,14332.0,20076.0,40.1,
    4.-Secuestro,72.0,55.0,-23.6,
    5.-Delitos contra la libertad e indemnidad sexual,12619.0,14674.0,16.3,
    5.1.-Agresión sexual con penetración,1599.0,1942.0,21.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,11020.0,12732.0,15.5,
    6.-Robos con violencia e intimidación,37299.0,47293.0,26.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,75417.0,88320.0,17.1,
    7.1.-Robos con fuerza en domicilios,54323.0,63407.0,16.7,
    8.-Hurtos,349354.0,477934.0,36.8,
    9.-Sustracciones de vehículos,19034.0,22913.0,20.4,
    10.-Tráfico de drogas,13962.0,14361.0,2.9,
    Resto de infracciones penales,896390.0,1047894.0,16.9,
    TOTAL INFRACCIONES PENALES,1419431.0,1734625.0,22.2,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,43.0,58.0,34.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,162.0,207.0,27.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2605.0,3668.0,40.8,
    4.-Secuestro,18.0,13.0,-27.8,
    5.-Delitos contra la libertad e indemnidad sexual,2011.0,2401.0,19.4,
    5.1.-Agresión sexual con penetración,213.0,257.0,20.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1798.0,2144.0,19.2,
    6.-Robos con violencia e intimidación,4090.0,5496.0,34.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,12027.0,14117.0,17.4,
    7.1.-Robos con fuerza en domicilios,8491.0,10102.0,19.0,
    8.-Hurtos,49215.0,67049.0,36.2,
    9.-Sustracciones de vehículos,3632.0,4178.0,15.0,
    10.-Tráfico de drogas,3686.0,3548.0,-3.7,
    Resto de infracciones penales,152702.0,183701.0,20.3,
    TOTAL INFRACCIONES PENALES,230191.0,284436.0,23.6,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,5.0,8.0,60.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,14.0,55.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,341.0,515.0,51.0,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,336.0,318.0,-5.4,
    5.1.-Agresión sexual con penetración,44.0,34.0,-22.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,292.0,284.0,-2.7,
    6.-Robos con violencia e intimidación,601.0,858.0,42.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1458.0,1746.0,19.8,
    7.1.-Robos con fuerza en domicilios,999.0,1072.0,7.3,
    8.-Hurtos,6151.0,7357.0,19.6,
    9.-Sustracciones de vehículos,203.0,182.0,-10.3,
    10.-Tráfico de drogas,308.0,275.0,-10.7,
    Resto de infracciones penales,20464.0,22625.0,10.6,
    TOTAL INFRACCIONES PENALES,29878.0,33898.0,13.5,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,10.0,66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,234.0,341.0,45.7,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,193.0,204.0,5.7,
    5.1.-Agresión sexual con penetración,28.0,18.0,-35.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,165.0,186.0,12.7,
    6.-Robos con violencia e intimidación,192.0,295.0,53.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,866.0,817.0,-5.7,
    7.1.-Robos con fuerza en domicilios,585.0,563.0,-3.8,
    8.-Hurtos,3265.0,4964.0,52.0,
    9.-Sustracciones de vehículos,210.0,201.0,-4.3,
    10.-Tráfico de drogas,127.0,138.0,8.7,
    Resto de infracciones penales,13884.0,17096.0,23.1,
    TOTAL INFRACCIONES PENALES,18978.0,24070.0,26.8,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,29.0,-3.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,552.0,1023.0,85.3,
    4.-Secuestro,4.0,3.0,-25.0,
    5.-Delitos contra la libertad e indemnidad sexual,588.0,736.0,25.2,
    5.1.-Agresión sexual con penetración,53.0,78.0,47.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,535.0,658.0,23.0,
    6.-Robos con violencia e intimidación,652.0,1019.0,56.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1904.0,2150.0,12.9,
    7.1.-Robos con fuerza en domicilios,1379.0,1599.0,16.0,
    8.-Hurtos,12657.0,19964.0,57.7,
    9.-Sustracciones de vehículos,804.0,1157.0,43.9,
    10.-Tráfico de drogas,294.0,486.0,65.3,
    Resto de infracciones penales,28862.0,32500.0,12.6,
    TOTAL INFRACCIONES PENALES,46352.0,59070.0,27.4,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,11.0,11.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,34.0,36.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,781.0,929.0,19.0,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,690.0,876.0,27.0,
    5.1.-Agresión sexual con penetración,69.0,105.0,52.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,621.0,771.0,24.2,
    6.-Robos con violencia e intimidación,916.0,1213.0,32.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2554.0,2727.0,6.8,
    7.1.-Robos con fuerza en domicilios,1827.0,1802.0,-1.4,
    8.-Hurtos,11923.0,17493.0,46.7,
    9.-Sustracciones de vehículos,724.0,903.0,24.7,
    10.-Tráfico de drogas,416.0,590.0,41.8,
    Resto de infracciones penales,41338.0,46276.0,11.9,
    TOTAL INFRACCIONES PENALES,59378.0,71053.0,19.7,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,8.0,-27.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,204.0,294.0,44.1,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,103.0,130.0,26.2,
    5.1.-Agresión sexual con penetración,15.0,17.0,13.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,88.0,113.0,28.4,
    6.-Robos con violencia e intimidación,137.0,186.0,35.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1057.0,1222.0,15.6,
