
Balance de criminalidad. 2022 - 4º Trimestre - CCAA
Indicadores de seguridad 2022 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,Enero-diciembre 2019,Enero-diciembre 2021,Enero-diciembre 2022,Variación % 2022/2019,Variación % 2022/2021,
TOTAL NACIONAL,
    I. CRIMINALIDAD CONVENCIONAL,1981173.0,1652242.0,1949852.0,-1.6,18.0,
    1. Homicidios dolosos y asesinatos consumados,331.0,293.0,325.0,-1.8,10.9,
    2. Homicidios dolosos y asesinatos en grado tentativa,836.0,1029.0,1208.0,44.5,17.4,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,20051.0,20252.0,26422.0,31.8,30.5,
    4. Secuestro,89.0,97.0,85.0,-4.5,-12.4,
    5. Delitos contra la libertad sexual,13545.0,15388.0,17389.0,28.4,13.0,
    5.1.-Agresión sexual con penetración,1873.0,2143.0,2870.0,53.2,33.9,
    5.2.-Resto de delitos contra la libertad sexual,11672.0,13245.0,14519.0,24.4,9.6,
    6. Robos con violencia e intimidación,65874.0,53073.0,63711.0,-3.3,20.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,142528.0,105274.0,120676.0,-15.3,14.6,
    7.1.-Robos con fuerza en domicilios,98326.0,75501.0,86308.0,-12.2,14.3,
    8. Hurtos,700453.0,493479.0,642579.0,-8.3,30.2,
    9. Sustracciones de vehículos,35105.0,26417.0,30982.0,-11.7,17.3,
    10. Tráfico de drogas,16624.0,18313.0,19014.0,14.4,3.8,
    11. Resto de criminalidad convencional,985737.0,918627.0,1027461.0,4.2,11.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),218302.0,305477.0,375506.0,72.0,22.9,
    12.-Estafas informáticas,192375.0,267011.0,336778.0,75.1,26.1,
    13.-Otros ciberdelitos,25927.0,38466.0,38728.0,49.4,0.7,
    III. TOTAL INFRACCIONES PENALES,2199475.0,1957719.0,2325358.0,5.7,18.8,
ANDALUCÍA,
    I. CRIMINALIDAD CONVENCIONAL,310666.0,272401.0,322544.0,3.8,18.4,
    1. Homicidios dolosos y asesinatos consumados,82.0,55.0,74.0,-9.8,34.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,156.0,219.0,283.0,81.4,29.2,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3474.0,3648.0,4836.0,39.2,32.6,
    4. Secuestro,31.0,27.0,22.0,-29.0,-18.5,
    5. Delitos contra la libertad sexual,2178.0,2338.0,2666.0,22.4,14.0,
    5.1.-Agresión sexual con penetración,258.0,281.0,378.0,46.5,34.5,
    5.2.-Resto de delitos contra la libertad sexual,1920.0,2057.0,2288.0,19.2,11.2,
    6. Robos con violencia e intimidación,7302.0,5911.0,7360.0,0.8,24.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,22452.0,16381.0,18734.0,-16.6,14.4,
    7.1.-Robos con fuerza en domicilios,15349.0,11457.0,13242.0,-13.7,15.6,
    8. Hurtos,91298.0,68916.0,89115.0,-2.4,29.3,
    9. Sustracciones de vehículos,6511.0,4848.0,5625.0,-13.6,16.0,
    10. Tráfico de drogas,4366.0,4816.0,4608.0,5.5,-4.3,
    11. Resto de criminalidad convencional,172816.0,165242.0,189221.0,9.5,14.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),28655.0,42493.0,56996.0,98.9,34.1,
    12.-Estafas informáticas,23237.0,35288.0,49432.0,112.7,40.1,
    13.-Otros ciberdelitos,5418.0,7205.0,7564.0,39.6,5.0,
    III. TOTAL INFRACCIONES PENALES,339321.0,314894.0,379540.0,11.9,20.5,
ARAGÓN,
    I. CRIMINALIDAD CONVENCIONAL,37420.0,33335.0,38433.0,2.7,15.3,
    1. Homicidios dolosos y asesinatos consumados,6.0,5.0,10.0,66.7,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,13.0,27.0,200.0,107.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,552.0,521.0,716.0,29.7,37.4,
    4. Secuestro,2.0,2.0,1.0,-50.0,-50.0,
    5. Delitos contra la libertad sexual,288.0,388.0,382.0,32.6,-1.5,
    5.1.-Agresión sexual con penetración,26.0,53.0,62.0,138.5,17.0,
    5.2.-Resto de delitos contra la libertad sexual,262.0,335.0,320.0,22.1,-4.5,
    6. Robos con violencia e intimidación,1033.0,960.0,1198.0,16.0,24.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2346.0,2034.0,2404.0,2.5,18.2,
    7.1.-Robos con fuerza en domicilios,1568.0,1346.0,1483.0,-5.4,10.2,
    8. Hurtos,10546.0,8925.0,10678.0,1.3,19.6,
    9. Sustracciones de vehículos,242.0,252.0,282.0,16.5,11.9,
    10. Tráfico de drogas,351.0,407.0,417.0,18.8,2.5,
    11. Resto de criminalidad convencional,22045.0,19828.0,22318.0,1.2,12.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5163.0,8461.0,9812.0,90.0,16.0,
    12.-Estafas informáticas,4536.0,7310.0,8923.0,96.7,22.1,
    13.-Otros ciberdelitos,627.0,1151.0,889.0,41.8,-22.8,
    III. TOTAL INFRACCIONES PENALES,42583.0,41796.0,48245.0,13.3,15.4,
ASTURIAS (PRINCIPADO DE),
    I. CRIMINALIDAD CONVENCIONAL,23001.0,19434.0,23553.0,2.4,21.2,
    1. Homicidios dolosos y asesinatos consumados,7.0,1.0,6.0,-14.3,500.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,11.0,8.0,16.0,45.5,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,402.0,336.0,452.0,12.4,34.5,
    4. Secuestro,0.0,0.0,1.0,100.0,100.0,
    5. Delitos contra la libertad sexual,171.0,225.0,240.0,40.4,6.7,
    5.1.-Agresión sexual con penetración,12.0,37.0,29.0,141.7,-21.6,
    5.2.-Resto de delitos contra la libertad sexual,159.0,188.0,211.0,32.7,12.2,
    6. Robos con violencia e intimidación,362.0,295.0,395.0,9.1,33.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1563.0,1206.0,1191.0,-23.8,-1.2,
    7.1.-Robos con fuerza en domicilios,908.0,832.0,829.0,-8.7,-0.4,
    8. Hurtos,6780.0,4705.0,6816.0,0.5,44.9,
    9. Sustracciones de vehículos,224.0,259.0,249.0,11.2,-3.9,
    10. Tráfico de drogas,206.0,166.0,172.0,-16.5,3.6,
    11. Resto de criminalidad convencional,13275.0,12233.0,14015.0,5.6,14.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4162.0,6906.0,8593.0,106.5,24.4,
    12.-Estafas informáticas,3657.0,6187.0,7688.0,110.2,24.3,
    13.-Otros ciberdelitos,505.0,719.0,905.0,79.2,25.9,
    III. TOTAL INFRACCIONES PENALES,27163.0,26340.0,32146.0,18.3,22.0,
BALEARS (ILLES),
    I. CRIMINALIDAD CONVENCIONAL,69154.0,52721.0,67338.0,-2.6,27.7,
    1. Homicidios dolosos y asesinatos consumados,6.0,6.0,3.0,-50.0,-50.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,42.0,32.0,35.0,-16.7,9.4,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,857.0,768.0,1319.0,53.9,71.7,
    4. Secuestro,6.0,7.0,4.0,-33.3,-42.9,
    5. Delitos contra la libertad sexual,700.0,714.0,856.0,22.3,19.9,
    5.1.-Agresión sexual con penetración,89.0,65.0,111.0,24.7,70.8,
    5.2.-Resto de delitos contra la libertad sexual,611.0,649.0,745.0,21.9,14.8,
