
Balance de criminalidad. 2023 - 3er Trimestre - CCAA
Indicadores de seguridad 2023 - 3er  Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-septiembre 2022,enero-septiembre 2023,Variación % 2023/2022,
TOTAL NACIONAL,
    I. CRIMINALIDAD CONVENCIONAL,1462535.0,1489660.0,1.9,
    1. Homicidios dolosos y asesinatos consumados,244.0,268.0,9.8,
    2. Homicidios dolosos y asesinatos en grado tentativa,875.0,1052.0,20.2,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,20172.0,20666.0,2.4,
    4. Secuestro,56.0,91.0,62.5,
    5. Delitos contra la libertad sexual,13437.0,15051.0,12.0,
    5.1.-Agresión sexual con penetración,3288.0,3693.0,12.3,
    5.2.-Resto de delitos contra la libertad sexual,10149.0,11358.0,11.9,
    6. Robos con violencia e intimidación,47245.0,48262.0,2.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,88966.0,90258.0,1.5,
    7.1.-Robos con fuerza en domicilios,63799.0,62147.0,-2.6,
    8. Hurtos,479889.0,498984.0,4.0,
    9. Sustracciones de vehículos,22823.0,24229.0,6.2,
    10. Tráfico de drogas,14462.0,15750.0,8.9,
    11. Resto de criminalidad convencional,774366.0,775049.0,0.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),277599.0,337251.0,21.5,
    12.-Estafas informáticas,248176.0,304819.0,22.8,
    13.-Otros ciberdelitos,29423.0,32432.0,10.2,
    III. TOTAL INFRACCIONES PENALES,1740134.0,1826911.0,5.0,
ANDALUCÍA,
    I. CRIMINALIDAD CONVENCIONAL,242369.0,250502.0,3.4,
    1. Homicidios dolosos y asesinatos consumados,58.0,62.0,6.9,
    2. Homicidios dolosos y asesinatos en grado tentativa,208.0,226.0,8.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3677.0,3862.0,5.0,
    4. Secuestro,12.0,29.0,141.7,
    5. Delitos contra la libertad sexual,2069.0,2358.0,14.0,
    5.1.-Agresión sexual con penetración,387.0,474.0,22.5,
    5.2.-Resto de delitos contra la libertad sexual,1682.0,1884.0,12.0,
    6. Robos con violencia e intimidación,5475.0,5699.0,4.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14196.0,15087.0,6.3,
    7.1.-Robos con fuerza en domicilios,10137.0,10412.0,2.7,
    8. Hurtos,66986.0,72221.0,7.8,
    9. Sustracciones de vehículos,4137.0,4456.0,7.7,
    10. Tráfico de drogas,3556.0,3529.0,-0.8,
    11. Resto de criminalidad convencional,141995.0,142973.0,0.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),41689.0,57576.0,38.1,
    12.-Estafas informáticas,35975.0,51363.0,42.8,
    13.-Otros ciberdelitos,5714.0,6213.0,8.7,
    III. TOTAL INFRACCIONES PENALES,284058.0,308078.0,8.5,
ARAGÓN,
