
Balance de criminalidad. 2023 - 4º Trimestre - CCAA
Indicadores de seguridad 2023 - 4ºTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-diciembre 2022,enero-diciembre 2023,Variación % 2023/2022,
TOTAL NACIONAL,
    I. CRIMINALIDAD CONVENCIONAL,1948338.0,1989271.0,2.1,
    1. Homicidios dolosos y asesinatos consumados,326.0,336.0,3.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,1213.0,1349.0,11.2,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,26444.0,27413.0,3.7,
    4. Secuestro,84.0,122.0,45.2,
    5. Delitos contra la libertad sexual,17367.0,19981.0,15.1,
    5.1.-Agresión sexual con penetración,4270.0,4875.0,14.2,
    5.2.-Resto de delitos contra la libertad sexual,13097.0,15106.0,15.3,
    6. Robos con violencia e intimidación,63392.0,64785.0,2.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,121039.0,122444.0,1.2,
    7.1.-Robos con fuerza en domicilios,86515.0,84446.0,-2.4,
    8. Hurtos,642276.0,663370.0,3.3,
    9. Sustracciones de vehículos,30767.0,32820.0,6.7,
    10. Tráfico de drogas,19057.0,20875.0,9.5,
    11. Resto de criminalidad convencional,1026373.0,1035776.0,0.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),374737.0,470388.0,25.5,
    12.-Estafas informáticas,335995.0,426744.0,27.0,
    13.-Otros ciberdelitos,38742.0,43644.0,12.7,
    III. TOTAL INFRACCIONES PENALES,2323075.0,2459659.0,5.9,
ANDALUCÍA,
    I. CRIMINALIDAD CONVENCIONAL,322225.0,332242.0,3.1,
    1. Homicidios dolosos y asesinatos consumados,74.0,71.0,-4.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,284.0,291.0,2.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4855.0,5142.0,5.9,
    4. Secuestro,21.0,35.0,66.7,
    5. Delitos contra la libertad sexual,2659.0,3062.0,15.2,
    5.1.-Agresión sexual con penetración,512.0,603.0,17.8,
    5.2.-Resto de delitos contra la libertad sexual,2147.0,2459.0,14.5,
    6. Robos con violencia e intimidación,7335.0,7705.0,5.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18819.0,20266.0,7.7,
    7.1.-Robos con fuerza en domicilios,13281.0,14081.0,6.0,
    8. Hurtos,89038.0,95607.0,7.4,
    9. Sustracciones de vehículos,5578.0,5965.0,6.9,
    10. Tráfico de drogas,4616.0,4782.0,3.6,
    11. Resto de criminalidad convencional,188946.0,189316.0,0.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),56908.0,81251.0,42.8,
    12.-Estafas informáticas,49323.0,72784.0,47.6,
    13.-Otros ciberdelitos,7585.0,8467.0,11.6,
    III. TOTAL INFRACCIONES PENALES,379133.0,413493.0,9.1,
ARAGÓN,
    I. CRIMINALIDAD CONVENCIONAL,38269.0,36879.0,-3.6,
    1. Homicidios dolosos y asesinatos consumados,10.0,9.0,-10.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,27.0,36.0,33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,711.0,663.0,-6.8,
    4. Secuestro,1.0,2.0,100.0,
    5. Delitos contra la libertad sexual,379.0,448.0,18.2,
    5.1.-Agresión sexual con penetración,89.0,88.0,-1.1,
    5.2.-Resto de delitos contra la libertad sexual,290.0,360.0,24.1,
    6. Robos con violencia e intimidación,1195.0,1007.0,-15.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2423.0,2654.0,9.5,
    7.1.-Robos con fuerza en domicilios,1493.0,1898.0,27.1,
    8. Hurtos,10629.0,9934.0,-6.5,
    9. Sustracciones de vehículos,279.0,307.0,10.0,
    10. Tráfico de drogas,420.0,516.0,22.9,
    11. Resto de criminalidad convencional,22195.0,21303.0,-4.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),9620.0,11565.0,20.2,
    12.-Estafas informáticas,8732.0,10326.0,18.3,
    13.-Otros ciberdelitos,888.0,1239.0,39.5,
    III. TOTAL INFRACCIONES PENALES,47889.0,48444.0,1.2,
ASTURIAS (PRINCIPADO DE),
    I. CRIMINALIDAD CONVENCIONAL,23533.0,25275.0,7.4,
    1. Homicidios dolosos y asesinatos consumados,6.0,6.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,16.0,15.0,-6.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,454.0,441.0,-2.9,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,238.0,299.0,25.6,
    5.1.-Agresión sexual con penetración,46.0,66.0,43.5,
    5.2.-Resto de delitos contra la libertad sexual,192.0,233.0,21.4,
    6. Robos con violencia e intimidación,392.0,426.0,8.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1194.0,1574.0,31.8,
    7.1.-Robos con fuerza en domicilios,830.0,989.0,19.2,
    8. Hurtos,6810.0,7688.0,12.9,
    9. Sustracciones de vehículos,239.0,264.0,10.5,
    10. Tráfico de drogas,170.0,184.0,8.2,
    11. Resto de criminalidad convencional,14013.0,14378.0,2.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8560.0,8712.0,1.8,
    12.-Estafas informáticas,7661.0,7966.0,4.0,
    13.-Otros ciberdelitos,899.0,746.0,-17.0,
    III. TOTAL INFRACCIONES PENALES,32093.0,33987.0,5.9,
BALEARS (ILLES),
    I. CRIMINALIDAD CONVENCIONAL,67281.0,67172.0,-0.2,
    1. Homicidios dolosos y asesinatos consumados,3.0,8.0,166.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,36.0,42.0,16.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1319.0,1399.0,6.1,
    4. Secuestro,4.0,4.0,0.0,
    5. Delitos contra la libertad sexual,855.0,989.0,15.7,
    5.1.-Agresión sexual con penetración,157.0,156.0,-0.6,
    5.2.-Resto de delitos contra la libertad sexual,698.0,833.0,19.3,
    6. Robos con violencia e intimidación,1272.0,1527.0,20.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2930.0,2676.0,-8.7,
    7.1.-Robos con fuerza en domicilios,2174.0,1926.0,-11.4,
    8. Hurtos,24460.0,23009.0,-5.9,
    9. Sustracciones de vehículos,1564.0,1825.0,16.7,
    10. Tráfico de drogas,627.0,778.0,24.1,
    11. Resto de criminalidad convencional,34211.0,34915.0,2.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8701.0,11359.0,30.5,
    12.-Estafas informáticas,7452.0,10192.0,36.8,
    13.-Otros ciberdelitos,1249.0,1167.0,-6.6,
    III. TOTAL INFRACCIONES PENALES,75982.0,78531.0,3.4,
CANARIAS,
    I. CRIMINALIDAD CONVENCIONAL,81767.0,86651.0,6.0,
    1. Homicidios dolosos y asesinatos consumados,13.0,17.0,30.8,
    2. Homicidios dolosos y asesinatos en grado tentativa,47.0,60.0,27.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1211.0,1390.0,14.8,
    4. Secuestro,1.0,6.0,500.0,
    5. Delitos contra la libertad sexual,1051.0,1096.0,4.3,
    5.1.-Agresión sexual con penetración,234.0,220.0,-6.0,
    5.2.-Resto de delitos contra la libertad sexual,817.0,876.0,7.2,
    6. Robos con violencia e intimidación,1615.0,1861.0,15.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3679.0,3374.0,-8.3,
    7.1.-Robos con fuerza en domicilios,2370.0,2110.0,-11.0,
    8. Hurtos,23596.0,26258.0,11.3,
    9. Sustracciones de vehículos,1244.0,1446.0,16.2,
    10. Tráfico de drogas,744.0,756.0,1.6,
    11. Resto de criminalidad convencional,48566.0,50387.0,3.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),13684.0,17779.0,29.9,
    12.-Estafas informáticas,11699.0,15872.0,35.7,
    13.-Otros ciberdelitos,1985.0,1907.0,-3.9,
    III. TOTAL INFRACCIONES PENALES,95451.0,104430.0,9.4,
CANTABRIA,
    I. CRIMINALIDAD CONVENCIONAL,18903.0,18261.0,-3.4,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,11.0,10.0,-9.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,374.0,372.0,-0.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,140.0,157.0,12.1,
    5.1.-Agresión sexual con penetración,39.0,34.0,-12.8,
    5.2.-Resto de delitos contra la libertad sexual,101.0,123.0,21.8,
    6. Robos con violencia e intimidación,242.0,256.0,5.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1818.0,1783.0,-1.9,
    7.1.-Robos con fuerza en domicilios,1348.0,1292.0,-4.2,
    8. Hurtos,4878.0,4840.0,-0.8,
    9. Sustracciones de vehículos,86.0,119.0,38.4,
    10. Tráfico de drogas,83.0,114.0,37.3,
    11. Resto de criminalidad convencional,11270.0,10610.0,-5.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4806.0,5986.0,24.6,
    12.-Estafas informáticas,4349.0,5444.0,25.2,
    13.-Otros ciberdelitos,457.0,542.0,18.6,
    III. TOTAL INFRACCIONES PENALES,23709.0,24247.0,2.3,
CASTILLA Y LEÓN,
    I. CRIMINALIDAD CONVENCIONAL,65542.0,63493.0,-3.1,
    1. Homicidios dolosos y asesinatos consumados,16.0,10.0,-37.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,39.0,48.0,23.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1038.0,1014.0,-2.3,
    4. Secuestro,3.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,535.0,616.0,15.1,
    5.1.-Agresión sexual con penetración,107.0,139.0,29.9,
    5.2.-Resto de delitos contra la libertad sexual,428.0,477.0,11.4,
    6. Robos con violencia e intimidación,710.0,811.0,14.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4360.0,4118.0,-5.6,
    7.1.-Robos con fuerza en domicilios,2966.0,2746.0,-7.4,
    8. Hurtos,17361.0,17325.0,-0.2,
    9. Sustracciones de vehículos,512.0,486.0,-5.1,
    10. Tráfico de drogas,482.0,470.0,-2.5,
    11. Resto de criminalidad convencional,40486.0,38595.0,-4.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21302.0,25424.0,19.4,
    12.-Estafas informáticas,18968.0,22642.0,19.4,
    13.-Otros ciberdelitos,2334.0,2782.0,19.2,
    III. TOTAL INFRACCIONES PENALES,86844.0,88917.0,2.4,
CASTILLA - LA MANCHA,
    I. CRIMINALIDAD CONVENCIONAL,65193.0,64282.0,-1.4,
    1. Homicidios dolosos y asesinatos consumados,19.0,15.0,-21.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,47.0,44.0,-6.4,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,981.0,979.0,-0.2,
    4. Secuestro,2.0,3.0,50.0,
    5. Delitos contra la libertad sexual,550.0,647.0,17.6,
    5.1.-Agresión sexual con penetración,116.0,133.0,14.7,
    5.2.-Resto de delitos contra la libertad sexual,434.0,514.0,18.4,
    6. Robos con violencia e intimidación,899.0,929.0,3.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4807.0,5024.0,4.5,
    7.1.-Robos con fuerza en domicilios,3307.0,3584.0,8.4,
    8. Hurtos,14393.0,14800.0,2.8,
    9. Sustracciones de vehículos,654.0,646.0,-1.2,
    10. Tráfico de drogas,560.0,592.0,5.7,
    11. Resto de criminalidad convencional,42281.0,40603.0,-4.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),15649.0,19537.0,24.8,
    12.-Estafas informáticas,13608.0,17425.0,28.0,
    13.-Otros ciberdelitos,2041.0,2112.0,3.5,
    III. TOTAL INFRACCIONES PENALES,80842.0,83819.0,3.7,
CATALUÑA,
    I. CRIMINALIDAD CONVENCIONAL,411154.0,434358.0,5.6,
    1. Homicidios dolosos y asesinatos consumados,63.0,71.0,12.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,201.0,239.0,18.9,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4015.0,4039.0,0.6,
    4. Secuestro,9.0,11.0,22.2,
    5. Delitos contra la libertad sexual,3496.0,4215.0,20.6,
    5.1.-Agresión sexual con penetración,1184.0,1588.0,34.1,
    5.2.-Resto de delitos contra la libertad sexual,2312.0,2627.0,13.6,
    6. Robos con violencia e intimidación,25049.0,25421.0,1.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,27975.0,27370.0,-2.2,
    7.1.-Robos con fuerza en domicilios,20019.0,18483.0,-7.7,
    8. Hurtos,162170.0,170136.0,4.9,
    9. Sustracciones de vehículos,7411.0,8458.0,14.1,
    10. Tráfico de drogas,3965.0,4368.0,10.2,
    11. Resto de criminalidad convencional,176800.0,190030.0,7.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),63877.0,75163.0,17.7,
    12.-Estafas informáticas,61607.0,73475.0,19.3,
    13.-Otros ciberdelitos,2270.0,1688.0,-25.6,
    III. TOTAL INFRACCIONES PENALES,475031.0,509521.0,7.3,
COMUNITAT VALENCIANA,
    I. CRIMINALIDAD CONVENCIONAL,228966.0,237841.0,3.9,
    1. Homicidios dolosos y asesinatos consumados,38.0,34.0,-10.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,137.0,162.0,18.2,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3284.0,3415.0,4.0,
    4. Secuestro,10.0,15.0,50.0,
    5. Delitos contra la libertad sexual,2197.0,2385.0,8.6,
    5.1.-Agresión sexual con penetración,513.0,472.0,-8.0,
    5.2.-Resto de delitos contra la libertad sexual,1684.0,1913.0,13.6,
    6. Robos con violencia e intimidación,5663.0,6067.0,7.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18032.0,18368.0,1.9,
    7.1.-Robos con fuerza en domicilios,14601.0,14395.0,-1.4,
    8. Hurtos,71315.0,76375.0,7.1,
    9. Sustracciones de vehículos,3160.0,3231.0,2.2,
    10. Tráfico de drogas,2034.0,2522.0,24.0,
    11. Resto de criminalidad convencional,123096.0,125267.0,1.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),34005.0,46509.0,36.8,
    12.-Estafas informáticas,29040.0,40835.0,40.6,
    13.-Otros ciberdelitos,4965.0,5674.0,14.3,
    III. TOTAL INFRACCIONES PENALES,262971.0,284350.0,8.1,
EXTREMADURA,
    I. CRIMINALIDAD CONVENCIONAL,24565.0,26470.0,7.8,
    1. Homicidios dolosos y asesinatos consumados,3.0,4.0,33.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,7.0,16.0,128.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,379.0,447.0,17.9,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,260.0,261.0,0.4,
    5.1.-Agresión sexual con penetración,51.0,44.0,-13.7,
